Index,Original Category,keywords,Description,Assigned Category
411,Other,"[('respond', 16.666666666666664), ('screen', 16.666666666666664), ('slow', 16.666666666666664), ('touch', 16.666666666666664), ('oven', 0.0)]",Oven touch screen slow to respond,Constant Key Press
419,Other,"[('got', 9.090909090909092), ('handle', 9.090909090909092), ('inside', 9.090909090909092), ('like', 9.090909090909092), ('unscrewed', 9.090909090909092)]",It seems like handle got unscrewed somehow from the inside.,Broken Door Handle
420,Other,"[('9513717275', 7.142857142857142), ('answer', 0.0), ('calling', 0.0), ('constant', 0.0), ('error', 0.0), ('key', 0.0), ('press', 0.0), ('store', 0.0), ('treid', 0.0), ('unolug', 0.0)]",CONSTANT KEY PRESS ERROR TREID CALLING STORE TO HAVE THEM UNOLUG NO ANSWER 9513717275,Constant Key Press
423,Other,"[('asap', 9.090909090909092), ('believe', 9.090909090909092), ('fixed', 9.090909090909092), ('missing', 9.090909090909092), ('needs', 9.090909090909092), ('screw', 9.090909090909092)]",I believe its missing a screw needs to be fixed asap,Cavity
453,Other,"[('constant', 8.333333333333332), ('detected', 8.333333333333332), ('key', 8.333333333333332), ('message', 8.333333333333332), ('press', 8.333333333333332), ('service', 8.333333333333332), ('support', 8.333333333333332), ('warning', 8.333333333333332)]","""warning constant key press detected - call service support"" message",Constant Key Press
455,Other,"[('constant', 8.333333333333332), ('detected', 8.333333333333332), ('key', 8.333333333333332), ('press', 8.333333333333332), ('reads', 8.333333333333332), ('service', 8.333333333333332), ('support', 8.333333333333332), ('warning', 8.333333333333332), ('display', 0.0)]",Display reads: warning constant key press detected & call service support,Constant Key Press
468,Other,"[('requested', 16.666666666666664), ('screen', 16.666666666666664), ('service', 16.666666666666664), ('working', 16.666666666666664), ('display', 0.0)]",Display not working screen requested service,Constant Key Press
492,Other,"[('partner', 50.0), ('electrocuted', 0.0)]",Electrocuted partner,Loose Door Handle
498,Other,"[('burning', 7.142857142857142), ('casing', 7.142857142857142), ('fan', 7.142857142857142), ('intake', 7.142857142857142), ('oven', 7.142857142857142), ('partners', 7.142857142857142), ('damaged', 0.0), ('left', 0.0)]",Damaged casing and intake fan. It is burning partners. Left oven.,Upper Impinger Plate
505,Other,"[('burned', 3.125), ('completely', 3.125), ('damaged', 3.125), ('didnt', 3.125), ('door', 3.125), ('edge', 3.125), ('leg', 3.125), ('little', 3.125), ('look', 3.125), ('opened', 3.125), ('oven', 3.125), ('papers', 3.125), ('pretty', 3.125), ('tray', 3.125), ('warming', 3.125)]",One of the warming papers completely burned. I didnt see a fire when i opened the oven door. The edge of the tray and little leg look pretty damaged.,Tray/Peg Issue
525,Other,"[('install', 2.1739130434782608), ('numbers', 2.1739130434782608), ('serial', 2.1739130434782608), ('700', 1.0869565217391304), ('90', 1.0869565217391304), ('arrival', 1.0869565217391304), ('blower', 1.0869565217391304), ('complete', 1.0869565217391304), ('date', 1.0869565217391304), ('disposal', 1.0869565217391304), ('dispose', 1.0869565217391304), ('installed', 1.0869565217391304), ('loaned', 1.0869565217391304), ('new', 1.0869565217391304), ('offsite', 1.0869565217391304), ('old', 1.0869565217391304), ('oven', 1.0869565217391304), ('ovens', 1.0869565217391304), ('remove', 1.0869565217391304), ('removed', 1.0869565217391304), ('schedule', 1.0869565217391304), ('store', 1.0869565217391304), ('tech', 1.0869565217391304), ('00', 0.0), ('10', 0.0), ('790', 0.0), ('comments', 0.0), ('completion', 0.0), ('dual', 0.0), ('good', 0.0), ('guardian', 0.0), ('job', 0.0), ('merrychef', 0.0), ('ngod13790', 0.0), ('numb', 0.0), ('number', 0.0), ('photo', 0.0), ('placement', 0.0), ('po', 0.0), ('replacement', 0.0), ('report', 0.0), ('required', 0.0), ('sn', 0.0), ('tested', 0.0), ('total', 0.0)]","***DUAL MERRYCHEF Oven Replacement*** Arrival date 3/10 $700 for install, $90 for disposal Total PO 790.00 Remove loaned bottom blower on SN: NGOD13790  Please schedule w/ store before tech arrival to complete install Job: remove then dispose offsite old oven Install two new MERRYCHEF ovens Report back all serial numbers removed and serial numbers installed PHOTO OF OVEN PLACEMENT NOW REQUIRED! Completion Comments New Oven 1 Serial Number: Guardian Serial: Tested: GOOD New Oven 2 Serial Numb",116 Heater OFF on Request
539,Other,"[('26059485', 33.33333333333333), ('billing', 33.33333333333333), ('welbilt', 0.0)]",Welbilt billing 26059485,Overheating
543,Other,"[('26513989', 33.33333333333333), ('billing', 33.33333333333333), ('welbilt', 0.0)]",Welbilt billing 26513989,Overheating
569,Other,"[('constant', 10.0), ('detected', 10.0), ('key', 10.0), ('press', 10.0), ('service', 10.0), ('support', 10.0), ('warning', 0.0)]",Warning....constant key press detected. Call service support,Constant Key Press
574,Other,"[('constant', 9.090909090909092), ('detected', 9.090909090909092), ('error', 9.090909090909092), ('key', 9.090909090909092), ('message', 9.090909090909092), ('photo', 9.090909090909092), ('press', 9.090909090909092)]",*constant key press detected See error message photo below.,Constant Key Press
575,Other,"[('oven', 3.571428571428571), ('says', 2.380952380952381), ('10', 1.1904761904761905), ('10374', 1.1904761904761905), ('accessible', 1.1904761904761905), ('ago', 1.1904761904761905), ('believes', 1.1904761904761905), ('called', 1.1904761904761905), ('caught', 1.1904761904761905), ('compartment', 1.1904761904761905), ('days', 1.1904761904761905), ('dept', 1.1904761904761905), ('extinguisher', 1.1904761904761905), ('food', 1.1904761904761905), ('goes', 1.1904761904761905), ('hours', 1.1904761904761905), ('partner', 1.1904761904761905), ('partners', 1.1904761904761905), ('pm', 1.1904761904761905), ('right', 1.1904761904761905), ('safety', 1.1904761904761905), ('shift', 1.1904761904761905), ('shooting', 1.1904761904761905), ('trbl', 1.1904761904761905), ('turned', 1.1904761904761905), ('use', 1.1904761904761905), ('kastor', 0.0), ('store', 0.0)]","Store# 10374, Kastor, shift, in a fire in the right oven, had to use the fire extinguisher. The partner says the fire was behind the compartment where food goes not accessible. The partners have turned the oven off for safety. Fire dept. was not called. Partner says she believes this oven caught on fire a few days ago as well. No trbl shooting. Store hours: 5 am - 10 pm.",Loose Door Handle
578,Other,"[('error', 7.8431372549019605), ('reset', 5.88235294117647), ('appeared', 3.9215686274509802), ('oven', 3.9215686274509802), ('1456', 1.9607843137254901), ('came', 1.9607843137254901), ('constant', 1.9607843137254901), ('giving', 1.9607843137254901), ('hard', 1.9607843137254901), ('key', 1.9607843137254901), ('press', 1.9607843137254901), ('soft', 1.9607843137254901), ('10pm', 0.0), ('5am', 0.0), ('alex', 0.0), ('e2s', 0.0), ('kba', 0.0), ('merrychef', 0.0), ('ovens', 0.0), ('sh', 0.0), ('shift', 0.0), ('tried', 0.0)]","Alex SHIFT, Merrychef oven is giving a constant key press error Tried a soft reset, error still appeared Tried a hard reset and the error still appeared KBA: Merrychef E2S Ovens - 1456 SH: 5AM - 10PM Tried to reset the oven but the error came back",Constant Key Press
593,Other,"[('appears', 12.5), ('door', 12.5), ('melting', 12.5), ('oven', 12.5), ('coating', 0.0)]",Coating on oven door appears to be melting,Convection
600,Other,"[('constant', 0.0), ('detected', 0.0), ('key', 0.0), ('press', 0.0), ('service', 0.0), ('support', 0.0)]",CONSTANT KEY PRESS DETECTED CALL SERVICE SUPPORT,Constant Key Press
601,Other,"[('message', 5.128205128205128), ('5am', 2.564102564102564), ('9932', 2.564102564102564), ('constant', 2.564102564102564), ('detected', 2.564102564102564), ('key', 2.564102564102564), ('press', 2.564102564102564), ('saying', 2.564102564102564), ('showing', 2.564102564102564), ('shows', 2.564102564102564), ('tried', 2.564102564102564), ('turn', 2.564102564102564), ('10', 0.0), ('30pm', 0.0), ('hours', 0.0), ('langrehr', 0.0), ('oven', 0.0), ('shelby', 0.0), ('shift', 0.0), ('store', 0.0), ('ve', 0.0)]","Store 9932 Shift: Shelby Langrehr Hours: 5am - 10:30pm Oven is showing a message saying ""constant key press detected"" we've tried to turn it on and off but it still shows the message.",Constant Key Press
605,Other,"[('food', 3.1746031746031744), ('5a', 1.5873015873015872), ('9932', 1.5873015873015872), ('customers', 1.5873015873015872), ('heating', 1.5873015873015872), ('https', 1.5873015873015872), ('inconsistent', 1.5873015873015872), ('ovens', 1.5873015873015872), ('properly', 1.5873015873015872), ('said', 1.5873015873015872), ('time', 1.5873015873015872), ('warm', 1.5873015873015872), ('warming', 1.5873015873015872), ('05', 0.0), ('08', 0.0), ('09', 0.0), ('10', 0.0), ('12', 0.0), ('2019', 0.0), ('2022', 0.0), ('202205100419', 0.0), ('2bk7lcy', 0.0), ('2fx202h21hwalevoqkpuskxvi9awywwf47kw2s', 0.0), ('30p', 0.0), ('3d', 0.0), ('4868', 0.0), ('4b7be9822dda', 0.0), ('7531b4cf', 0.0), ('88aa', 0.0), ('blob', 0.0), ('core', 0.0), ('d257', 0.0), ('hours', 0.0), ('jpeg', 0.0), ('langrehr', 0.0), ('net', 0.0), ('s00332safocwpr', 0.0), ('se', 0.0), ('shelby', 0.0), ('shift', 0.0), ('sig', 0.0), ('sp', 0.0), ('spr', 0.0), ('sr', 0.0), ('st', 0.0), ('store', 0.0), ('stores', 0.0), ('sv', 0.0), ('wasn', 0.0), ('windows', 0.0)]",Store #: 9932 Shift: Shelby Langrehr Hours: 5a - 10:30p Both the ovens have an inconsistent heating time. The food is not properly warming up and customers have said their food wasn't warm enough. https://s00332safocwpr.blob.core.windows.net/stores/9932/9932-202205100419-7531B4CF-D257-4868-88AA-4B7BE9822DDA.jpeg?sv=2019-12-12&sr=b&st=2022-05-09&se=2022-08-08&spr=https&sp=r&sig=%2FX202H21hwaleVoQkpusKxvI9AwYwwF47KW2S%2BK7LcY%3D,Loose Door Handle
621,Other,"[('constant', 6.25), ('key', 6.25), ('oven', 6.25), ('press', 6.25), ('screen', 6.25), ('turn', 6.25), ('working', 6.25), ('touch', 0.0)]",Touch screen is not working. Also can not turn off oven. constant key press,Constant Key Press
622,Other,"[('error', 11.11111111111111), ('message', 11.11111111111111), ('photo', 11.11111111111111), ('screen', 11.11111111111111), ('touch', 11.11111111111111), ('displaying', 0.0)]",Displaying error message on touch screen. See photo,102 Heater On Without Request
658,Other,"[('anytime', 2.941176470588235), ('cooking', 2.941176470588235), ('current', 2.941176470588235), ('electric', 2.941176470588235), ('food', 2.941176470588235), ('goes', 2.941176470588235), ('kind', 2.941176470588235), ('like', 2.941176470588235), ('oven', 2.941176470588235), ('sounds', 2.941176470588235), ('spark', 2.941176470588235), ('start', 2.941176470588235)]","In the back of the oven, there is a spark that sounds kind of like an electric current. It goes off anytime you put food in there and start cooking it.",Microwave
668,Other,"[('oven', 5.714285714285714), ('5520', 2.857142857142857), ('did', 2.857142857142857), ('edgar', 2.857142857142857), ('pressed', 2.857142857142857), ('saying', 2.857142857142857), ('serial', 2.857142857142857), ('tried', 2.857142857142857), ('turning', 2.857142857142857), ('work', 2.857142857142857), ('2201213091548', 0.0), ('4am', 0.0), ('7pm', 0.0), ('e2s', 0.0), ('issues', 0.0), ('kb0012272', 0.0), ('merrychef', 0.0), ('number', 0.0), ('ovens', 0.0), ('partner', 0.0), ('sh', 0.0), ('ss', 0.0), ('times', 0.0)]","edgar SS, 5520 oven is saying it was pressed too many times.partner tried turning oven on and off but it did not work. serial number-2201213091548 Merrychef E2S Ovens - All Issues KB0012272 sh-4am-7pm",Loose Door Handle
701,Other,"[('backwards', 12.5), ('hard', 12.5), ('pushing', 12.5), ('select', 12.5), ('screen', 0.0), ('tap', 0.0)]","Screen pushing backwards, hard to tap/ select",Close Door Error
704,Other,"[('press', 5.555555555555555), ('button', 2.7777777777777777), ('calibrated', 2.7777777777777777), ('center', 2.7777777777777777), ('make', 2.7777777777777777), ('misalignment', 2.7777777777777777), ('needing', 2.7777777777777777), ('order', 2.7777777777777777), ('selection', 2.7777777777777777), ('want', 2.7777777777777777), ('isn', 0.0), ('screen', 0.0), ('ve', 0.0)]","Screen isn't calibrated, so we've been needing to press off center in order to make the selection that we want. We can't press the back button because of the misalignment.",Control
744,Other,"[('oven', 5.084745762711865), ('causing', 3.389830508474576), ('issue', 3.389830508474576), ('plate', 3.389830508474576), ('burn', 1.694915254237288), ('damaged', 1.694915254237288), ('flattening', 1.694915254237288), ('got', 1.694915254237288), ('indents', 1.694915254237288), ('inside', 1.694915254237288), ('new', 1.694915254237288), ('ovens', 1.694915254237288), ('pegs', 1.694915254237288), ('plates', 1.694915254237288), ('tickets', 1.694915254237288), ('wobble', 1.694915254237288), ('just', 0.0), ('submitted', 0.0)]","Some of the pegs inside the oven are flattening out on top, causing indents to burn into the bottom of the oven plate and causing the oven plate to wobble. Just got new plates and they are already becoming damaged due to this issue. Submitted two tickets because this is an issue with both ovens.",Tray/Peg Issue
