Completion Note,Description,Category,WO#
"Replaced cable, tested oven.

Oven operating nominally.

Dispatch please close","Replacement of data cables from the KCCM Module to SRB required. Firmware Update required as well. Parts and Firmware USB have been shipped to the Market. This has a required completion date of 6/09/21. Instructions for cable swap attached in procedures as well as with parts package. Cable tags and ties are not included, fill out information on printed instruction sheet included in parts kit. Cables will need to be returned to Turbo Technicians Addison office, return label enclosed with",Menu Issue,ST24503016
"Cook count: 102979

Oven in use when I arrived. Occasionally says door open when closed.

Adjusted SW1, tested oven, downloaded error log.

Oven operating nominally

Closed with FCC @ 1730 PST","Were open from 5am-close everyday except for thanksgiving, and our hours for thanksgiving is 5am-5pm. Door does not registered as closed",Close Door Error,ST24503020
"Oven: 2007213090178, Left
Cook Count: 160252
Voltage: 208V
Mag Amps: 7.
Left: 7.5A
Right: 7.7A
Heater Amps: 10.9A
 
Issue: Making strange noises.
 
Resolution: Oven in use when I arrived. Tested & inspected oven, could not duplicate customer complaint.

Oven operating nominally",tubochef left oven making a weird noise does not heat up qr:7290275185 sn:2007213090178 sh: 5am-10pm kb: 1454,Loud Noises,ST24503027
"Oven: 2007213090178, Left
Cook Count: 199964
Voltage: 208V
Mag Amps: 
Left: 7.8A
Right: 8.0A
Heater Amps: 10.9A
 
Issue: Door open error
 
Resolution: Oven in use when I arrived, found that SW3 needed adjusting.
Adjusted SW3, ran recommission tests, all passed.

Oven operating nominally.",Left oven keeps saying the door is open when it is closed.,Close Door Error,ST24503030
"Found door skin bolts loose making contact with filter guard. 
Tightened and adjusted door. Tested unit: working within manufacture specifications","Door does not close on its own unless we push it close. Also, it sometimes makes a weird electric noise when it cooks. It is gonna be the left oven. It started probably last Friday.",Door Issue,ST24503032
"Called spoke Steph, oven reading constant key press detected. Had her power cycle the oven, this fixed the issue.

Closed with FCC at 1105PST","called the store to turn off and unplug it, store said they already did it but having the same error The left oven has a warning on it. And no buttons work. It says warning. Constant key press detected.",Constant Key Press,ST24503035
nan,Welbilt billing 26412301,101 Magnetron Failure,ST24503038
Replaced the cable ensuring the oven was online and working properly. Tech left the oven online and working properly.,"Replacement of data cables from the KCCM Module to SRB required. Firmware Update required as well. Parts and Firmware USB have been shipped to the Market. This has a required completion date of 6/09/21. Instructions for cable swap attached in procedures as well as with parts package. Cable tags and ties are not included, fill out information on printed instruction sheet included in parts kit. Cables will need to be returned to Turbo Technicians Addison office, return label",Menu Issue,ST27975013
"Tech Arrive to the site found impinger plate felt off
Tech proceed to re adjust the impinger plate back to place
Procedures multiples times and oven is working to the manufacturer specs",The top of the inside of the oven came off.,Upper Impinger Plate,ST27975033
nan,Welbilt billing 26261577,101 Magnetron Failure,ST9449029
"RightE2S 

Faults 
0

Volts
208

Amps
R-8.4
L-8.3

Heater Amps 
10.9

Checked EC , air filter error , air filter not seated properly 

Properly positioned air filter , tested unit all tests passed with zero faults 

Raphael",Right oven does not recognize the filter that is there. Tried to swap the filter with the left oven but still doesn't recognize the filter. Cleaned the filter and around the vent. Because the oven doesn't recognize the filter it is unable to cook anything for the proper amount of time.,Air Filter Error,ST9449032
"Right Merrychef 
208
8.4,8.4 
10.7 amps 
No faults 

Notes 
Impinger plate fell down 
Reinstalled impinger plate 
All tests pass",Top tray is disattaching from top part of oven,Tray/Peg Issue,ST587005
*Advised store to unplug the oven and plug it back in. Oven is working fine now.,"*Advised store to unplug the oven and plug it back in. Oven is working fine now. Right oven has an error message that reads ""WARNING CONSTANT KEY PRESS DETECTED. CALL SERVICE SUPPORT"" Turned on but not fully warmed, and we are unable to cook anything.",Constant Key Press,ST587006
"Message reads- constant key press detected call service support x:329 y:237

Called store and advised to unplug. oven working fine now",Message reads- constant key press detected call service support x:329 y:237 Called store and advised to unplug. oven working fine now,Constant Key Press,ST587007
"Mod Catherine 

Right Merrychef 
Sn#2008213091155

208 vac
8.3,8.3 amps 
10.8 amps 
No errors 

Notes 
Constant key press and loose door handle found 
Reset oven and tightened handle 
all tests pass",Constant key press detected message,Constant Key Press,ST587009
"Mod Kaitlyn
Right Merrychef 
208 vac
8.2,8.3 amps 
10.8 amps 
Constant keypress 

Notes 
Reset oven",Oven has error code. Is not working,Constant Key Press,ST587010
"Mod Camry
Merrychef 
208 vac
8.3,8.3 amps 
10.9 amps 
 E086 Error

Notes
Tech found e086 ambient overheat error 
Oven is currently working 
All tests pass could not duplicate at this time",The right oven is displaying an Ambient Overheat warning. The ambient temperature of the store was below 75 degrees and the air filter was removed and cleaned. The warning still continued to display after a restart.,103 Ambient Overtemp,ST587016
"Completed w FCC 9/10/21 @554am

Notes 
Unplug oven and plug back in 
Issue resolved
Inspected for damage 
No damage to overlay 
All tests pass","Oven says ""constant key press detected call service support",Constant Key Press,ST6783012
"Merrychef 
208
8.3,8.3amps 
10.6 amps 
E107 comm error 

Notes 
Already updated menu but tech 
Uploaded new menu anyways on both ovens 

All tests pass",Oven not updated to summer 2,Menu Issue,ST6783015
"Left oven Merrychef 
8.3,8.3 amps 
10.6 amps 
Open door 

Notes 
Open door error 
Tech found food stopping door from closing sometimes 
Adjusted door switch 
All tests pass","Left side oven displays ""oven door open"" error even though the door is closed. It is an intermittent issue and is starting to appear more often.",Power Supply,ST6783016
"208v

8.00 amps each mag circuit 
17.00 amps mags combined 

10.0 amps heater 

0 faults 

Unit display issue 

Upon inspecting unit found that the display was loose and causing the screen to shift down. 

Tightened all loose mounting screws. 

Adjusted display to be centered. 

Tested unit all test passed at 0 faults 

All oven functions working properly","Oven works fine, but the display jolted inside. Oven door seems to be more sensitive than the other door in that it slams easily which is why it may have jolted around.",tool,ST6783019
"Merrychef 
208 vac
8.3,8.3 amps 
10.7 amps 
No errors 

Notes
All tests pass removed the washers and wiped grease off overlay 
Display is working properly Al tests pas",Oven touch screen slow to respond,Display Issue,ST6783021
"208v

8.00 amps each mag circuit 
17.00 amps mags combined 

11.00 amps heater 

Unit door issue 

Upon inspecting unit found that the door was closing but switch not fully recognizing. 

Oven door switches needed an adjustment 

Adjusted all switches 

Tested unit all test passed at 0 faults 

All oven functions working properly","The oven door opens and closes but after closing it still shows that the door is open, followed by the beeping after the door has been ""open"" for some time. Requires very firmly shutting the door before the message disappears and it reads as closed again.",Close Door Error,ST6783022
Mag warranty,"Left oven stopped functioning and is giving an error code with message: ""OVERHEAT STATS RELEASED"". We have already turned it off to cool down and it worked for less than 20 minutes before giving same error code. Error code: E104 Serial number:2010213091303 Model: eikon e2s star UI VER: V 005.000.005 SRB VER: V 005.000.000",104 Mag/Cavity Overheat Trip,ST6783026
"208v
8.00 mag amps each

Unit heat err 
Upon inspecting unit found that the unit was unable to warm up and reading code 104 temp issue. The unit overheated and caused the temp reset button to trip. Reset button. Ran oven to temp. Tested unit oven working as normal.",*as per store oven is giving error code E104. SN verified E104 sh: 4am-11pm,104 Mag/Cavity Overheat Trip,ST55319018
"Left E2S
2011213090689

Broken door handle

Left Mag. 8.2
Right Mag 8.4

Checked EC, tightened screws, added loctite, tested unit, all functions working properly.

Rebecca",It seems like handle got unscrewed somehow from the inside.,Broken Door Handle,ST55319021
"Completed 3/29/2022

S/N#2011213090689

L amps—8.5

R amps—8.6

Heaters—10.5

Faults—constant key press

Unplugged the oven then plugged it back in",CONSTANT KEY PRESS ERROR TREID CALLING STORE TO HAVE THEM UNOLUG NO ANSWER 9513717275,Constant Key Press,ST55319024
"LeftE2S 

Faults
0

Volts
208

Amps
R8.3
L-8.2

Heater Amps 
10.9

Checked EC , oven needs new cook plates tech has spoken to manager on 2 occasions about ordering plates and no order has been made plates are becoming worse.

Tested unit all tests passed with zero faults 

MOD",Oven began making loud electrical cracking noise when warming.,Loud Noises,ST55319026
"LeftE2S 

Faults
0

Volts
208v

Amps
R-8.5
L-8.5

Amps
11

Checked ec, display housing missing screw

Replaced screw and updated menu , tested unit all tests passed with zero faults 

Deleah",I believe its missing a screw needs to be fixed asap,Cavity,ST55319027
"208

8.00 amps each mag circuit 
17.00 amps mags combined 

10.00 amps heater 

Faults 0 

Upon inspecting unit found that the screen froze on constant key press 

Unit reset. 
Calibrated screen. 

Loaded menu to current 

Tested unit all test passed at 0 faults 

All oven functions working properly",Oven wont cook and just displays this message constay key press,Constant Key Press,ST55319030
"LeftE2S 

FaultS
0

Volts
208

Amps
R8.4
L-8.4

Heater Amps 
10.9

Checked EC , constant Key Press 

Restarted unit and calibrated screen, tested unit all tests passed with zero faults 

Alai",NW Oven door wont fully close,Close Door Error,ST55319031
"208v

8.00 amps each mag circuit 
17.00 amps mags combined 

10.00 amps heater 

Faults 0

Unit impinger issue 

Upon inspecting unit found that the impinger plate fell down. 

Remounted impinger plate. 

Tested unit all test passed at 0 faults 

All oven functions working properly",Top of oven came off screws,Upper Impinger Plate,ST55319032
No service rendered service declined,Food is not cooking to temp on the left oven.,Food Not Cooking Properly,ST55319043
"208v

Left oven 

8.00 amps each circuit 
17.90 mag amps combined 

10.00 heater amps 

Faults 
E-104

Upon arrival oven working as normal 

Inspected unit for any signs of malfunction 

Store had a remodel and oven was moved around and caused the hi limit to trip. 

All oven functions working as normal. 

Loaded menu to current summer 24",ERROR CODE E104. Trouble shooting did not work.,104 Mag/Cavity Overheat Trip,ST55319045
"Left Oven
2011213091108
Constant Key Press Detected 
208 Vac

Reset Computer
(Unplug & Plug Back Oven)

Left Mag - 8.2 Amps 
4 Seconds
Right Mag - 8.4 Amps 
3 Seconds

Heater - 10.5 Amps","""warning constant key press detected - call service support"" message",Constant Key Press,ST10005013
nan,Display reads: warning constant key press detected & call service support,Constant Key Press,ST10005015
"Left MerryChef E2S

2011213091108

208V

Faults -E104

Amps-16.0 
Left Circuit-7.8 
Right Circuit-8.0
Heaters-10.8

Couldn’t reproduce any errors. 
Manager said both ovens gave the same error message at the same time,after a short power outage.

Checked EC, test unit, all test pass without faults.
Stirrer working properly 
Cooling fans working properly 
Air filter cleaned and positioned properly",Error message https://s00332safocwpr.blob.core.windows.net/stores/10005/10005-202205091423-15D49BE5-378C-44E6-9A76-58C3144C1A83.jpeg?sv=2019-12-12&sr=b&st=2022-05-08&se=2022-08-07&spr=https&sp=r&sig=x0qtB3%2Fl%2FDrN8GziTkCWloMRnwe1U9Sk5PjEEXSnp0U%3D,104 Mag/Cavity Overheat Trip,ST10005017
"Left MerryChef E2S

2011213091108

208V

Faults -E086

Amps-16.7
Left Circuit-8.4
Right Circuit-8.2
Heaters-10.9

SW door switch loose, not making good contact.

Positioned and then tightened all door switches in proper sequence.

Checked EC, test unit, all test pass without faults.
Stirrer working properly 
Cooling fans working properly 
Air filter cleaned and positioned properly",Door consistently displays door open message when closed,Close Door Error,ST10005018
"Left MerryChef E2S

2011213091108

208V

Faults -E086

Amps-16.4
Left Circuit-8.2
Right Circuit-8.2
Heaters-10.9

Missing screw from display to frame. 

Replaced missing screw 

Checked EC, test unit, all test pass without faults.
Stirrer working properly 
Cooling fans working properly 
Air filter cleaned and positioned properly",Oven screen is slanted a bit and harder to touch food items. Left dt oven. Issue started 8/16/22,Menu Issue,ST10005019
"Left MerryChef E2S

2011213091108

208V

Faults -E087

Amps-17.4
Left Circuit-8.8
Right Circuit-8.8
Heaters-10.9

Long key press detected 

Reset oven by unplugging it, calibrated touchscreen. Stirrer working properly, Cooling fans working properly, Air filter cleaned and positioned properly. Checked EC, test unit, all test pass without faults.",Display not working screen requested service,Control,ST10005025
"Oven not working because of display

Advice store to trouble shoot, oven is now working","Oven not working because of display Advice store to trouble shoot, oven is now working",Constant Key Press,ST10005032
"Left MerryChef E2S

2011213091108

208V

Faults -E087

Amps-17.0
Left Circuit-8.5
Right Circuit-8.5
Heaters-10.8

Constant key press detected 

Preformed oven start up and calibrated touchscreen.

Stirrer working properly, Cooling fans working properly, Air filter cleaned and positioned properly. Checked EC, test unit, all test pass without faults.",Screen not working and is frozen,Display Issue,ST10005034
"MerryChef E2S

2011213091108

208V

Faults-E086

Amps-17.5
Left Circuit-8.7
Right Circuit-8.7
Heaters-10.8

Arrived at 7a. Spoke with manager Andrea. She said the food is not warming properly. She didn’t want me to look at oven at this time because of peak. She said she will make a new ticket at another time. 

Stirrer working properly, Cooling fans working properly, Air filter cleaned and positioned properly. Checked EC, test unit, all test pass without faults.",Warming not consistent,Food Not Cooking Properly,ST10005038
"208v
8.00 mag amps 
17.00 amps mags combined 
10.00 heater amps 

Unit door issue 
Upon inspecting unit found that the door switches were closing but needed adjustment for them to close properly all the way. Adjusted all switches. Tested unit all test passed at 0 faults",Door sensor can't tell that it is closed,Close Door Error,ST23315020
"Left MerryChef E2S

2112130969

208V

Faults -E086

Amps-17.0
Left Circuit-8.5
Right Circuit-8.5
Heaters-10.8

Door handle loose

Tightened door handle 

Checked EC, test unit, all test pass without faults.
Stirrer working properly 
Cooling fans working properly 
Air filter cleaned and positioned properly","23315, deon shift phone # 5629889304 store hours 6 am to 10 pm pt asset tag id 7290282141 left oven the handle is loose on the oven and needs to be secured also the oven has shocked partners multiple times and this is a safety concern Merrychef E2S Ovens - All Issues KB0012272",Loose Door Handle,ST23315024
"Left MerryChef 2011213091169

208V

Faults zero

Amps-16.9
Left Circuit-8.4
Right Circuit-8.5
Heaters-10.8

Checked EC, test unit, all test pass without faults.
Stirrer working properly
Air filter cleaned and positioned properly 

Upon arrival some people saying oven counter has shocked them and some people saying they have no idea what they are taking about 
Tested unit carefully for anything causing it to shock anyone 
Couldn’t reproduce shocking 
Door switch needing adjustment 
Adjusted door switch 
All test passed without any faults",Electrocuted partner,Loose Door Handle,ST23315025
nan,Welbilt billing 26287829,Overheating,ST23315027
"Button malfunction. System display says to contact for service report


Advice store to trouble shoot, oven is now working","Button malfunction. System display says to contact for service report Advice store to trouble shoot, oven is now working",Constant Key Press,ST23315028
"Mod:Justin 
Brand: left Merrychef 
Sn#2011213091169
Main power:208v
Heater Amps:10
Mag Amps:8.4,8.4

Notes:
Tech found loose bolts on convection motor causing gasket not to seap propely allowing grease to seap from cracks and crevices 
Tech tightened down bolts and resecured gaskets and cleaned side panels 
All tests passed",Damaged casing and intake fan. It is burning partners. Left oven.,Upper Impinger Plate,ST23315032
"Left MerryChef E2S

2011213091169

208V

Faults-E087

Amps-17.7
Left Circuit-8.8
Right Circuit-8.8
Heaters-10.7

Constant key press detected.

Preformed start up and calibrated touchscreen. Stirrer working properly, Cooling fans working properly, Air filter cleaned and positioned properly. Checked EC, test unit, all test pass without faults.",Left warming oven constant key press,Constant Key Press,ST23315037
"Customer complaint complaint: paper caught fire in oven

On arrival customer using unit opened oven found cook plate burned customer is going to order two cook plates and set a new call when they arrive there using both ovens",One of the warming papers completely burned. I didnt see a fire when i opened the oven door. The edge of the tray and little leg look pretty damaged.,Tray/Peg Issue,ST23629009
"New oven #1 (R)
SN: 2101213090424
Guardian SN: 0003342033
Test: Good 
Mag: 7.9/8.2

New oven #2 (L)
SN: 2101213091465
Guardian SN: store only received 1 guardian module, installed on R oven. 
Test: Good
Mag: 8.1/8.4

Old Oven SN: 
NGOD46371
NGOD50468 (Paulette’s oven)","***DUAL MERRYCHEF Oven Replacement*** Arrival date 3/10 $700 for install, $90 for disposal Total PO 790.00 Remove loaned bottom blower on SN: NGOD13790  Please schedule w/ store before tech arrival to complete install Job: remove then dispose offsite old oven Install two new MERRYCHEF ovens Report back all serial numbers removed and serial numbers installed PHOTO OF OVEN PLACEMENT NOW REQUIRED! Completion Comments New Oven 1 Serial Number: Guardian Serial: Tested: GOOD New Oven 2 Serial Numb",101 Magnetron Failure,ST13604008
Found oven with loose SW3. Tightened and repositioned SW3. Mag amps 8.7/8.7. Oven operational and back in normal use.,Oven saying door open even when its closed,Close Door Error,ST13604014
nan,Welbilt billing 25945136,101 Magnetron Failure,ST13604016
nan,Welbilt billing 26059485,Overheating,ST13604019
nan,Welbilt billing 26277740,101 Magnetron Failure,ST13604021
nan,Welbilt billing 26513989,Overheating,ST13604023
Mag warranty,Megntron error,101 Magnetron Failure,ST13604025
"No issue found with oven. However, the store’s food is frozen (30F). Picture attached of temp. Mag amps 7.7/8.4. Oven is operational and back in normal use.",Not warming food correctly,Food Not Cooking Properly,ST13604032
Oven has significant arcing damage to frame. Oven will need to be replaced. FSM notified.,Making very scary noises,Loud Noises,ST13604035
"Frank Miller 

Customer called saying oven over heated

Tech could not recreate an issue oven is operational 

Tech spoke with manager and told them to alternate ovens during rush 

Oven is operational 

All components work as intended 

16amps@208vac",Error code on oven,104 Mag/Cavity Overheat Trip,ST29771020
Hard reset resolved the board’s issue,Warning....constant key press detected. Call service support,Constant Key Press,ST8119011
"Mark

Reported problem: door handle 

I reattached the handle, the bolts are tight and shouldn’t come undone.",They just put a new door on less than a week ago (ticket #22596547) and the handle is falling off. Needs to be reattached.,Broken Door Handle,ST8119014
"Touch screen re-calibrated.
No faults on the oven.
FCC 11:20 AM CST",*constant key press detected See error message photo below.,Constant Key Press,ST8119010
SN Match - they left the paper on the oven and used fire extinguisher which caused the issue - tech clean the oven. no parts needed. THIS IS A MERRYCHEF NOT A TURBOCHEF . THE SERIAL # 2102213092019,"Store# 10374, Kastor, shift, in a fire in the right oven, had to use the fire extinguisher. The partner says the fire was behind the compartment where food goes not accessible. The partners have turned the oven off for safety. Fire dept. was not called. Partner says she believes this oven caught on fire a few days ago as well. No trbl shooting. Store hours: 5 am - 10 pm.",Loose Door Handle,ST10374010
Bad touch screen. Replaced and tested good,"Alex SHIFT, Merrychef oven is giving a constant key press error Tried a soft reset, error still appeared Tried a hard reset and the error still appeared KBA: Merrychef E2S Ovens - 1456 SH: 5AM - 10PM Tried to reset the oven but the error came back",Constant Key Press,ST10374012
Found heaters not working checked everything. Changed SRB board every things works great. Tested good,"Error message saying ""Heater Failed"", will not cook.",102 Heater On Without Request,ST10374014
"tech was on site and re booted the unit and it works as it should now
# 5022633009","Left oven displaying error code ""Warning: constant key press detected. Call service support"" Will not work. Advice store to trouble shoot, still having the same issue",Constant Key Press,ST10374015
Found a cut in door gasket . Gasket not dry rotted still plyable. Also door handle missing one bolt and falling off. Replaced bolt and tightened handle. Told manager to not open door or turn oven on for 4 hours.,The black matting that covers the oven is bubbling and melting away on the side of the oven door. It smells like burning plastic/gas and the silver metal is exposed. This area of the oven is hotter than the rest to the touch. This is happening on both sides of the oven but to a lesser degree on the left hand side.,Overheating,ST10374016
"Replaced door seal. Put tape on Door ""do not use until 6pm"" SEAL APPEARED TO HAVE BEEN CUT IN UPPER RIGT HAND SIDE AREA",Sides of oven door are melting,Door Gasket/Seal,ST10374017
"Replaced worn door hinges, Switch kit, HV Capacitor left side and three 20amp fuses.",The oven states that the door is open even when closed. Forced shutdown because even restarting the oven makes it state that the door is open.,Close Door Error,ST10374019
Found bad magnatrons replaced tested good,Displaying magnetron failure intermittently,101 Magnetron Failure,ST10374020
Replaced SRB Board and cook plate. Tested good. Cook plate burnt thru but stubs are new,Error Code heater failed,116 Heater OFF on Request,ST10374024
Found bad mag thermal then got E116 had to replace SRB Board also. Tested good,Overheating error; nonfunctional,104 Mag/Cavity Overheat Trip,ST10374027
Door hinges worn out. Replaced and tested good,"Kastor, shift supervisor, oven door is not closing all the way has a gap and sparking between oven and door itself. KB0012272 Asset: 7290081808 Serial: 2102213092019 Hours: 5am to 10pm Monday through Thursday",Door Issue,ST10374028
Checked left magnetron 9.8 amp right magnetron 9.1 amp draw at 208 volt. Removed covers found nothing burning. Everything looks fine,After turning on and using the oven twice it had a very strong burning plastic smell which i know is indicative of an electrical fire/ blown transformer. It was turned off immediately and nothing was noticed to be burning/damaged that we could observe from the outside.,Foul Odor,ST10374029
Replaced door gasket. Clip at bottom corner pulled apart. Door gasket still pliable appeared fairly new,Gasket loose in multiple places on door.,Door Gasket/Seal,ST10374030
Replaced upper impingement plate.,Metal plate on top of oven is beginning to fall off and is hanging down exposing the top of the oven,Upper Impinger Plate,ST10374031
Replaced blown fuse. Mag ampreage draw good. No other problems found,"Kat, SSV, called in because their MerryChef oven is stuck on the door is open screen but the door is closed and there are not any gaps in the door. Asset Tag: 7290081808 Store hours: 5a-10:30p KB0012272",Close Door Error,ST10374032
Found Left magnetron open filament only drawing 4.0 amps. And HV Capacitor left side swelled up and leaking. Replaced all tested good,Error in picture below. Magnetron failed,101 Magnetron Failure,ST10374033
Replaced outer door.,Coating on oven door appears to be melting,Foul Odor,ST10374034
The initial problem stated the oven was vurning wax paper. Upon arrival i found the oven to have a “clean cavity” warning on the screen. The crew member had cleaned the inside of the unit prior to my arrival. I clean the screen filter and tested. Unit tested fine.,The oven keeps burning the wax paper,Paper Burning,ST10374038
Nodule is connected. No automatic menu update. I manually updated to new menu via stick drive. Told manager to contact I.T.,"Oven will not connect to wifi and will not update, it is two updates behind",Menu Issue,ST10374039
Found door switch not clicking at all. Replaced both sets of switches. Unit tested good.,Prompting 'oven door open' notification when oven door is closed completely.,Close Door Error,ST10374042
Could not duplicate issue. Tested product. 34 degrees before heating. 202 degrees afterwards. Seems they where trying to cook frozen food. I explained the product temp prior to cooking. Unit tested great.,"Is not cooking food long enough, will pull out a sandwich that is cold in the middle",Food Not Cooking Properly,ST10374044
Found module is powered up and online. Manually updated unit via USB. Unit tested good.,"Ashley, SM. Issue/Concern: It won’t update to the spring | stuck on the winter | unable to download the recipes | they try the manual update |they did not coordinate. Resolution: Create Service Request KBA: Merrychef E2S Ovens - All Issues / KB0012272 Store Hours: 5:00am-10:00pm Sun-Thu 5:00am-10:30pm Fri-Sat Phone Number: 8592780606 Asset tag: 7290081808 OCR: N/A",Menu Issue,ST10374045
Upon arrival i was showed a video of the issue(extremely helpful). Found the cook plate and stubs burnt really good. Replaced both. Unit tested great.,When trying to heat a food item it makes an bad electrical buzzing noise,Loud Noises,ST10374046
"Found unit showing constant key press, more than likely due to nailed screen touches. Advised to associate if this happens in the future to unplug oven for a few seconds to reset it. After reset unit woks fine, all oven functions tested to be within specs.


Closed call with FCC.",CONSTANT KEY PRESS DETECTED CALL SERVICE SUPPORT,Constant Key Press,ST9932011
"Shimmed screen to clear constant key press detected error, also handle was loose, tightened up screws,

Tested all oven functions and meets all manufacturers specs.

Completed in FCC","Store 9932 Shift: Shelby Langrehr Hours: 5am - 10:30pm Oven is showing a message saying ""constant key press detected"" we've tried to turn it on and off but it still shows the message.",Constant Key Press,ST9932012
Checked oven functions and found the limit button in the back tripped. Also I uploaded the new menu as it was in spring. Tested all other oven functions everything working good. Also he other oven upload menu.,Store #: 9932 Shift: Shelby Langrehr Hours: 5a - 10:30p Both the ovens have an inconsistent heating time. The food is not properly warming up and customers have said their food wasn't warm enough. https://s00332safocwpr.blob.core.windows.net/stores/9932/9932-202205100419-7531B4CF-D257-4868-88AA-4B7BE9822DDA.jpeg?sv=2019-12-12&sr=b&st=2022-05-09&se=2022-08-08&spr=https&sp=r&sig=%2FX202H21hwaleVoQkpusKxvI9AwYwwF47KW2S%2BK7LcY%3D,Loose Door Handle,ST9932014
Arrived onsite and was unable to replicate reported issue. Oven was warmed and in use upon arriving. Oven components were tested; Magnetrons were ramping up as normal with 7 amps stemming from each mag. Test cooked a couple of food items (Bacon Gouda sandwich (2x bacon Gouda sandwiches and a butter croissant) and they cooked with no issues or interruptions. Shift on duty advised that the issue rarely occurs.,Error display on the oven. Will not function after the error display pops up,101 Magnetron Failure,ST9932016
Called store and asked to unplug and re-plug. oven is now working fine.,Oven is locked up and will not operate.,Constant Key Press,ST9932027
"5-29-24
Constant key press
Power cycled the oven; recalibrated the touchscreen; Performed a recommission test, a function test, a magnetron leak test and the oven performed properly. The oven heated up to cooking tempreture. The oven heated up to cooking tempreture. 
A. Tucker",Constant key press detected . We can't clear the code.,Constant Key Press,ST9932031
"208/
Door and filter ok 
LM 8.4
RM 8.2
H 10
BF ok
RF 10-100

Dirty EC clogged vents causing over heating loose Displaying error message on touch screen

Tested unit and all test passed recalibrated screen",Displaying error message on touch screen. See photo,102 Heater On Without Request,ST27294006
nan,"Its broken wont heat called the store, provide instruction to turn off and unplug it. store already did it and still the same problem",Constant Key Press,ST27294009
"RightE2S

Faults 
0

Volts 
208v

Amps 
R-8.5
L-8.5

Heater amps 
10.5

Checked EC , arching

Oven has slight arching . Advised partner to order cook plate , tested unit all test passed with zero faults",Sounds like an old microwave giving out... electrical problem? Also smells off,Loud Noises,ST27294010
"Righte2s

208V

Faults 
0

Amps-16.7
Left Circuit-8.4
Right Circuit-8.3
Heaters-10.7

Checked EC, door open call

Primary door switch wasn’t properly adjusted and would give door open error when closed . Adjusted door switches , tested unit, all test pass without faults.",Oven door does not shut all the way. Sometimes leaves an error saying the oven is still open. Door is slightly off the hinge but connected.,Close Door Error,ST27294011
"Righte2s

208V

Faults 
0

Amps-16.4
Left Circuit-8.2
Right Circuit-8.2
Heaters-11.3

Checked EC, constant key press

Reset and recalibrated oven, tested unit, all test pass without faults.",called the store to troubleshoot it but store already did it and request for a tech Error code came up for over heating. Followed instructions on fixing and it was resolved briefly. Now touch screen is not working.,Constant Key Press,ST27294012
"Right MerryChef 

208V

Faults zero

Amps-17.2
Left Circuit-8.6
Right Circuit-8.6
Heaters-10.9

Checked EC, test unit, all test pass without faults.
Stirrer working properly
Air filter cleaned and positioned properly 

Left door switch needing to be adjusted due to hinge barely activating switch 
Readjusted door switch 
All test passed without any faults 
Nicole",Oven will not read that the door is closed,Close Door Error,ST27294015
"Right Merrychef

208V

Faults zero

Amps-17.0
Left Circuit-8.4
Right Circuit-8.6
Heaters-11.0

Checked EC, test unit, all test pass without faults.
Stirrer working properly
Air filter cleaned and positioned properly

Unable to reproduce faults 
All test passed 
MOD Nicole",Oven keeps freezing on clean filter . We cleaned filter at open as well as 3 times more after that . Keeps freezing on screen annd saying overheated,Air Filter Error,ST27294025
Unplugged oven. Plugged it back in. Error goes away. Mag amps 8.2/8.2. Oven operational and back in normal use.,"Warning constant key press detected call service support"" called yesterday to troubleshoot and it did not fix the issue.",Constant Key Press,ST29154034
Found out of sequence switches. Adjusted switches. Mag amps 8.7/8.7. Oven is operational and back in normal use.,"Screen says ""door is open"" when the door is closed. If we jiggle the door it'll register that it's closed, we just don't want the problem to get worse.",Door Issue,ST29154052
"No issue found with oven. Could not duplicate issue. Ran each mag until it auto cut off. No arcing or any sound made. Pulled out mags to check antennas, no arcing damage or discoloration. Mag amps 8.6/8.4. Oven is operational and back in normal use.","In the back of the oven, there is a spark that sounds kind of like an electric current. It goes off anytime you put food in there and start cooking it.",Door Issue,ST29154055
Found oven with SW3 out of position. Adjusted SW3. Oven operational and back in normal use.,"Right oven keeps saying ""door open"" when it isn't.",Close Door Error,ST29154059
Found oven with out of sequence switches. Adjusted switches. Mag amps 8.5/8.5. Oven is operational and back in normal use.,"Oven keeps saying ""door is open"" when the door is closed on the left oven. Has been getting progressively worse over the past few days.",Close Door Error,ST29154060
nan,"Heater failed error code,",116 Heater OFF on Request,ST29154062
"LeftE2S 

Faults
E87/1

Volts
208

Amps
R-8.3
L-8.2

Heater Amps 
10.9

Checked EC,Constant Key Press

Restarted unit calibrated screen , tested unit all tests passed with zero faults 

Edgar","edgar SS, 5520 oven is saying it was pressed too many times.partner tried turning oven on and off but it did not work. serial number-2201213091548 Merrychef E2S Ovens - All Issues KB0012272 sh-4am-7pm",101 Magnetron Failure,ST5520027
Location stated that oven had constant keypress message. Tech unplugged oven and plugged back in for a hard reset. No other issues have been found at this time,Oven wont go back to regular screen,Constant Key Press,ST8456038
Manger reset breaker earlier and did not cancel,Right oven is not turning on.,No Power,ST6360034
"10/27/2023

Starbucks#6360 WO completed, SN: 2202213090978, inspected unit, discovered mag failure in error log, tested mag amperage, low amperage, replaced both mags with new, transferred components onto new mags, turned unit on, all amp readings are normal, unit heated up successfully without any errors, tested unit multiple times, food is being cooked. Unit is up and running at this time.",Food consistently comes out cold,Food Not Cooking Properly,ST6360038
