Service Incident Summary,Keywords for n=1,Keywords for n=2,Keywords for n=3,Part Number,Part Description,Service Line Type
OVEN IS DISPLAYING OVERHEATING ERROR MESSAGE  AND MAKING A NOISE AT THE BACK. FOUND SRB FAULTY. REPLACED IO CONTROL BOARD AND TESTED OK,"display, error, make, message, overheating, test","display overheating, error message, make test, message make, overheating error","display overheating error, error message make, message make test, overheating error message",P30Z5048,CONTROL IO ASSY,Parts
"12/12/2023: Arrived to oven on and in use. Checked for current errors, found none. Spoke to staff, said oven will turn itself off by itself. Recommend updating software to current release. Spoke to Jim at MPS, he is going to get updated software. Will return to update.

12/14/2023: Updated software on all three ovens. Extra time was needed as each oven takes 25-30 minutes to update. Left oven did not update correctly and lost the Quick Chek program as well as its model and serial numbers. John @ Merrychef said he would talk to his boss and get back to me. Downloaded Quick Chek software and settings from another oven on site. Model and serial are not in oven however. Will wait to hear back. All three units are useable however.

12/26/2023: Customer states that about of the middle oven still getting intermittent e101’s. Checked amps on oven and found good. Since this an intermittent problem, replaced mags, left side capacitor and diode (right cap and diode were recently replaced). Also moved oven position all the way to the right. This will rule out if it’s an issue with power supply to oven. Reassembled and tested, oven is working properly at this time.","2530, amp, arrive, boss, capacitor, check, correctly, current, diode, download, e101, error, extra, going, good, hear, intermittent, issue, leave, lose, mag, middle, minute, model, need, number, oven, position, power, problem, program, properly, recently, release, replace, return, right, rule, say, serial, setting, site, software, staff, state, supply, talk, test, time, turn, unit, update, use, useable, wait, way, work","2530 minute, amp oven, arrive oven, boss download, capacitor diode, check amp, check current, correctly lose, current error, current release, diode recently, diode right, download software, e101 check, error staff, extra time, going update, good intermittent, hear unit, intermittent e101, intermittent problem, issue power, leave capacitor, lose program, mag leave, middle oven, minute update, model serial, need oven, number say, oven 2530, oven extra, oven good, oven intermittent, oven position, oven site, oven test, oven turn, oven update, oven use, oven wait, oven work, position way, power supply, problem replace, program model, properly time, recently replace, release going, replace mag, replace oven, return update, right capacitor, right rule, rule issue, say oven, say talk, serial number, serial oven, setting oven, site serial, software current, software oven, software return, software setting, staff say, state middle, supply oven, talk boss, test oven, time need, turn update, unit useable, update correctly, update oven, update software, update update, use check, useable state, wait hear, way right, work properly","2530 minute update, amp oven good, arrive oven use, boss download software, capacitor diode recently, capacitor diode right, check amp oven, check current error, correctly lose program, current error staff, current release going, diode recently replace, diode right capacitor, download software setting, e101 check amp, error staff say, extra time need, going update software, good intermittent problem, hear unit useable, intermittent e101 check, intermittent problem replace, issue power supply, leave capacitor diode, lose program model, mag leave capacitor, middle oven intermittent, minute update oven, model serial number, need oven 2530, number say talk, oven 2530 minute, oven extra time, oven good intermittent, oven intermittent e101, oven position way, oven site serial, oven test oven, oven turn update, oven update correctly, oven use check, oven wait hear, oven work properly, position way right, power supply oven, problem replace mag, program model serial, recently replace oven, release going update, replace mag leave, replace oven position, return update update, right capacitor diode, right rule issue, rule issue power, say oven turn, say talk boss, serial number say, serial oven wait, setting oven site, site serial oven, software current release, software oven extra, software return update, software setting oven, staff say oven, state middle oven, supply oven test, talk boss download, test oven work, time need oven, turn update software, unit useable state, update correctly lose, update oven update, update software current, update software oven, update software return, update update software, use check current, useable state middle, wait hear unit, way right rule, work properly time",30Z1549,0.95UF HV CAPACITOR 2500V,Parts
"12/12/2023: Arrived to oven on and in use. Checked for current errors, found none. Spoke to staff, said oven will turn itself off by itself. Recommend updating software to current release. Spoke to Jim at MPS, he is going to get updated software. Will return to update.

12/14/2023: Updated software on all three ovens. Extra time was needed as each oven takes 25-30 minutes to update. Left oven did not update correctly and lost the Quick Chek program as well as its model and serial numbers. John @ Merrychef said he would talk to his boss and get back to me. Downloaded Quick Chek software and settings from another oven on site. Model and serial are not in oven however. Will wait to hear back. All three units are useable however.

12/26/2023: Customer states that about of the middle oven still getting intermittent e101’s. Checked amps on oven and found good. Since this an intermittent problem, replaced mags, left side capacitor and diode (right cap and diode were recently replaced). Also moved oven position all the way to the right. This will rule out if it’s an issue with power supply to oven. Reassembled and tested, oven is working properly at this time.","2530, amp, arrive, boss, capacitor, check, correctly, current, diode, download, e101, error, extra, going, good, hear, intermittent, issue, leave, lose, mag, middle, minute, model, need, number, oven, position, power, problem, program, properly, recently, release, replace, return, right, rule, say, serial, setting, site, software, staff, state, supply, talk, test, time, turn, unit, update, use, useable, wait, way, work","2530 minute, amp oven, arrive oven, boss download, capacitor diode, check amp, check current, correctly lose, current error, current release, diode recently, diode right, download software, e101 check, error staff, extra time, going update, good intermittent, hear unit, intermittent e101, intermittent problem, issue power, leave capacitor, lose program, mag leave, middle oven, minute update, model serial, need oven, number say, oven 2530, oven extra, oven good, oven intermittent, oven position, oven site, oven test, oven turn, oven update, oven use, oven wait, oven work, position way, power supply, problem replace, program model, properly time, recently replace, release going, replace mag, replace oven, return update, right capacitor, right rule, rule issue, say oven, say talk, serial number, serial oven, setting oven, site serial, software current, software oven, software return, software setting, staff say, state middle, supply oven, talk boss, test oven, time need, turn update, unit useable, update correctly, update oven, update software, update update, use check, useable state, wait hear, way right, work properly","2530 minute update, amp oven good, arrive oven use, boss download software, capacitor diode recently, capacitor diode right, check amp oven, check current error, correctly lose program, current error staff, current release going, diode recently replace, diode right capacitor, download software setting, e101 check amp, error staff say, extra time need, going update software, good intermittent problem, hear unit useable, intermittent e101 check, intermittent problem replace, issue power supply, leave capacitor diode, lose program model, mag leave capacitor, middle oven intermittent, minute update oven, model serial number, need oven 2530, number say talk, oven 2530 minute, oven extra time, oven good intermittent, oven intermittent e101, oven position way, oven site serial, oven test oven, oven turn update, oven update correctly, oven use check, oven wait hear, oven work properly, position way right, power supply oven, problem replace mag, program model serial, recently replace oven, release going update, replace mag leave, replace oven position, return update update, right capacitor diode, right rule issue, rule issue power, say oven turn, say talk boss, serial number say, serial oven wait, setting oven site, site serial oven, software current release, software oven extra, software return update, software setting oven, staff say oven, state middle oven, supply oven test, talk boss download, test oven work, time need oven, turn update software, unit useable state, update correctly lose, update oven update, update software current, update software oven, update software return, update update software, use check current, useable state middle, wait hear unit, way right rule, work properly time",PSR109,DIODE REPLACEMENT KIT,Parts
"12/12/2023: Arrived to oven on and in use. Checked for current errors, found none. Spoke to staff, said oven will turn itself off by itself. Recommend updating software to current release. Spoke to Jim at MPS, he is going to get updated software. Will return to update.

12/14/2023: Updated software on all three ovens. Extra time was needed as each oven takes 25-30 minutes to update. Left oven did not update correctly and lost the Quick Chek program as well as its model and serial numbers. John @ Merrychef said he would talk to his boss and get back to me. Downloaded Quick Chek software and settings from another oven on site. Model and serial are not in oven however. Will wait to hear back. All three units are useable however.

12/26/2023: Customer states that about of the middle oven still getting intermittent e101’s. Checked amps on oven and found good. Since this an intermittent problem, replaced mags, left side capacitor and diode (right cap and diode were recently replaced). Also moved oven position all the way to the right. This will rule out if it’s an issue with power supply to oven. Reassembled and tested, oven is working properly at this time.","2530, amp, arrive, boss, capacitor, check, correctly, current, diode, download, e101, error, extra, going, good, hear, intermittent, issue, leave, lose, mag, middle, minute, model, need, number, oven, position, power, problem, program, properly, recently, release, replace, return, right, rule, say, serial, setting, site, software, staff, state, supply, talk, test, time, turn, unit, update, use, useable, wait, way, work","2530 minute, amp oven, arrive oven, boss download, capacitor diode, check amp, check current, correctly lose, current error, current release, diode recently, diode right, download software, e101 check, error staff, extra time, going update, good intermittent, hear unit, intermittent e101, intermittent problem, issue power, leave capacitor, lose program, mag leave, middle oven, minute update, model serial, need oven, number say, oven 2530, oven extra, oven good, oven intermittent, oven position, oven site, oven test, oven turn, oven update, oven use, oven wait, oven work, position way, power supply, problem replace, program model, properly time, recently replace, release going, replace mag, replace oven, return update, right capacitor, right rule, rule issue, say oven, say talk, serial number, serial oven, setting oven, site serial, software current, software oven, software return, software setting, staff say, state middle, supply oven, talk boss, test oven, time need, turn update, unit useable, update correctly, update oven, update software, update update, use check, useable state, wait hear, way right, work properly","2530 minute update, amp oven good, arrive oven use, boss download software, capacitor diode recently, capacitor diode right, check amp oven, check current error, correctly lose program, current error staff, current release going, diode recently replace, diode right capacitor, download software setting, e101 check amp, error staff say, extra time need, going update software, good intermittent problem, hear unit useable, intermittent e101 check, intermittent problem replace, issue power supply, leave capacitor diode, lose program model, mag leave capacitor, middle oven intermittent, minute update oven, model serial number, need oven 2530, number say talk, oven 2530 minute, oven extra time, oven good intermittent, oven intermittent e101, oven position way, oven site serial, oven test oven, oven turn update, oven update correctly, oven use check, oven wait hear, oven work properly, position way right, power supply oven, problem replace mag, program model serial, recently replace oven, release going update, replace mag leave, replace oven position, return update update, right capacitor diode, right rule issue, rule issue power, say oven turn, say talk boss, serial number say, serial oven wait, setting oven site, site serial oven, software current release, software oven extra, software return update, software setting oven, staff say oven, state middle oven, supply oven test, talk boss download, test oven work, time need oven, turn update software, unit useable state, update correctly lose, update oven update, update software current, update software oven, update software return, update update software, use check current, useable state middle, wait hear unit, way right rule, work properly time",P30Z1415,TOSHIBA MAGNETRON 2M303H,Parts
"error 102, checked and found faulty electronic, replacement, tested ok.","checked, e102, electronic, error, faulty, ok, replacement, test","checked faulty, e102 checked, electronic replacement, error e102, faulty electronic, replacement test, test ok","checked faulty electronic, e102 checked faulty, electronic replacement test, error e102 checked, faulty electronic replacement, replacement test ok",P30Z5048,CONTROL IO ASSY,Parts
Saying Mains supplies frequency issue- E105,"e105, frequency, issue, say, supply","frequency issue, issue e105, say supply, supply frequency","frequency issue e105, say supply frequency, supply frequency issue",P30Z5048,CONTROL IO ASSY,Parts
"Transport damage - Please record the fault and repair on site if necessary.
Merry Chef connex x12 
2210213090669 on 22.06.2023, inventory due to transport damage recorded and 
documented. Replacement will be requested and replaced as soon as possible. 08.09.2023, appliance switched off 
and waited for it to cool down. Top panel removed, new panel fitted and appliance switched back on. 
switched on again. Program called up and screen saver deactivated, according to service message from 05.09.2023. 
05.09.2023. Time and date readjusted, function OK again.","2210213090669, according, appliance, connex, cool, damage, date, deactivate, document, fault, fit, function, inventory, message, necessary, new, ok, panel, possible, readjust, record, remove, repair, replace, request, saver, screen, service, site, soon, switch, transport, wait, x12","2210213090669 inventory, according service, appliance switch, connex x12, cool panel, damage record, date readjust, deactivate according, document request, fault repair, fit appliance, function ok, inventory transport, message date, necessary connex, new panel, panel fit, panel remove, possible appliance, readjust function, record document, record fault, remove new, repair site, replace soon, request replace, saver deactivate, screen saver, service message, site necessary, soon possible, switch screen, switch switch, switch wait, transport damage, wait cool, x12 2210213090669","2210213090669 inventory transport, according service message, appliance switch switch, appliance switch wait, connex x12 2210213090669, cool panel remove, damage record document, damage record fault, date readjust function, deactivate according service, document request replace, fault repair site, fit appliance switch, inventory transport damage, message date readjust, necessary connex x12, new panel fit, panel fit appliance, panel remove new, possible appliance switch, readjust function ok, record document request, record fault repair, remove new panel, repair site necessary, replace soon possible, request replace soon, saver deactivate according, screen saver deactivate, service message date, site necessary connex, soon possible appliance, switch screen saver, switch switch screen, switch wait cool, transport damage record, wait cool panel, x12 2210213090669 inventory",PDY0079,X12 GLASS OVERLAY,Parts
"We would like to send you the video clip, For the 2 first clips, the machine error and we cannot press anything. So, we cannot check the machine.

After that, we took it back to our company and rechecked the machine and found that PCB burns as the picture shows in the attached file. 

So, we fix it by replacing the new PCB and the machine can use it to work normally.
Then, we can check the microwave leak and found that it isn't leak.
 
So, we finalize the problem is from PCB and we will submit a claim via CPS system.","attach, burn, check, claim, clip, company, error, file, finalize, fix, leak, like, machine, microwave, new, normally, pcb, picture, press, problem, rechecke, replace, send, submit, use, video, work","attach file, burn picture, check machine, check microwave, clip clip, clip machine, company rechecke, error press, file fix, finalize problem, fix replace, leak finalize, leak leak, like send, machine company, machine error, machine pcb, machine use, microwave leak, new pcb, normally check, pcb burn, pcb machine, picture attach, press check, problem submit, rechecke machine, replace new, send video, submit claim, use work, video clip, work normally","attach file fix, burn picture attach, check machine company, check microwave leak, clip clip machine, clip machine error, company rechecke machine, error press check, file fix replace, finalize problem submit, fix replace new, leak finalize problem, leak leak finalize, like send video, machine company rechecke, machine error press, machine pcb burn, machine use work, microwave leak leak, new pcb machine, normally check microwave, pcb burn picture, pcb machine use, picture attach file, press check machine, problem submit claim, rechecke machine pcb, replace new pcb, send video clip, use work normally, video clip clip, work normally check",P30Z5048,CONTROL IO ASSY,Parts
screen has come away and is pop out,"away, come, pop, screen","away pop, come away, screen come","come away pop, screen come away",P30Z5048,CONTROL IO ASSY,Parts
"there is a Error message E105 Mains supply frequency Issue, please send a engineer ASAP, MY other oven still not working too so currently both of my oven not working.","currently, e105, engineer, error, frequency, message, oven, send, supply, work","currently oven, e105 supply, engineer oven, error message, frequency send, message e105, oven work, send engineer, supply frequency, work currently","currently oven work, e105 supply frequency, engineer oven work, error message e105, frequency send engineer, message e105 supply, oven work currently, send engineer oven, supply frequency send, work currently oven",P30Z5048,CONTROL IO ASSY,Parts
E105 on display,"display, e105",e105 display,,P30Z5021,CONTROL PCB UNI SRB PACKED,Parts
Error comes up service issue need to contact with your service provider switch off and on same error restart same error,"come, contact, error, issue, need, provider, restart, service, switch","come service, contact service, error come, error restart, issue need, need contact, provider switch, restart error, service issue, service provider, switch error","come service issue, contact service provider, error come service, error restart error, issue need contact, need contact service, provider switch error, service issue need, service provider switch, switch error restart",P30Z5048,CONTROL IO ASSY,Parts
"MARCA ERROR 111, SE LOCALIZA DEFECTO DE LA PLACA Y SE SUSTITUYE. SE COMPRUEBA TEMPERATURA, SONDA Y FUNCIONAMIENTO GENERAL CON RESULTADO POSITIVO.","comprueba, e111, error, placa, resultado","comprueba resultado, e111 placa, error e111, placa comprueba","e111 placa comprueba, error e111 placa, placa comprueba resultado",P30Z5048,CONTROL IO ASSY,Parts
"Touch screen comes loose

In case of non-warranty, please contact us for approval.
The front panel on which the display is located has become detached and must be replaced. Replacement part will be ordered and
installed immediately upon receipt. A follow-up order will be created for the repair.
11.10.2023
Defective Glass Pverlay Assy replaced. Function test of the appliance via service menu - OK. Appliance heated up. Function - OK.","appliance, approval, case, come, contact, create, detached, display, followup, heat, immediately, instal, locate, loose, menu, nonwarranty, order, panel, receipt, repair, replace, screen, service, test, touch","appliance service, approval panel, case nonwarranty, come loose, contact approval, create repair, detached replace, display locate, followup order, immediately receipt, instal immediately, locate detached, loose case, menu heat, nonwarranty contact, order create, order instal, panel display, receipt followup, repair replace, replace order, replace test, screen come, service menu, test appliance, touch screen","appliance service menu, approval panel display, case nonwarranty contact, come loose case, contact approval panel, create repair replace, detached replace order, display locate detached, followup order create, immediately receipt followup, instal immediately receipt, locate detached replace, loose case nonwarranty, nonwarranty contact approval, order create repair, order instal immediately, panel display locate, receipt followup order, repair replace test, replace order instal, replace test appliance, screen come loose, service menu heat, test appliance service, touch screen come",PDY0079,X12 GLASS OVERLAY,Parts
"Default E105 - Defective SRB - Part replaced, test ok","defective, ok, replace, test","defective replace, replace test, test ok","defective replace test, replace test ok",P30Z5048,CONTROL IO ASSY,Parts
"Default E105 - Defective SRB - Part replaced, test ok","defective, ok, replace, test","defective replace, replace test, test ok","defective replace test, replace test ok",P30Z5048,CONTROL IO ASSY,Parts
"ERROR E105. We diagnosed a defective SRB board, 
Control PCB UNI SRB is replaced and now the oven works fine.","board, defective, diagnose, e105, error, fine, oven, replace, work","board replace, defective board, diagnose defective, e105 diagnose, error e105, oven work, replace oven, work fine","board replace oven, defective board replace, diagnose defective board, e105 diagnose defective, error e105 diagnose, oven work fine, replace oven work",P30Z5048,CONTROL IO ASSY,Parts
"Default E105 - Defective SRB - Part replaced, test ok","defective, ok, replace, test","defective replace, replace test, test ok","defective replace test, replace test ok",P30Z5048,CONTROL IO ASSY,Parts
"E111 default - Defective probe - Part Replaced, test, ok","default, defective, ok, probe, test","default defective, defective probe, probe test, test ok","default defective probe, defective probe test, probe test ok",DR0243,THERMOCOUPLE K-700,Parts
"Default E105 - Defective SRB - Part replaced, test ok","defective, ok, replace, test","defective replace, replace test, test ok","defective replace test, replace test ok",P30Z5048,CONTROL IO ASSY,Parts
"Default E105 - Defective SRB - Part replaced, test ok","defective, ok, replace, test","defective replace, replace test, test ok","defective replace test, replace test ok",PDY0079,X12 GLASS OVERLAY,Parts
"Default E105 - Defective SRB - Part replaced, test ok","defective, ok, replace, test","defective replace, replace test, test ok","defective replace test, replace test ok",P30Z5048,CONTROL IO ASSY,Parts
"Default E105 - Defective SRB - Part replaced, test ok","defective, ok, replace, test","defective replace, replace test, test ok","defective replace test, replace test ok",P30Z5048,CONTROL IO ASSY,Parts
"Front glass defective X12 - Part replaced, test ok","defective, glass, ok, replace, test","defective replace, glass defective, replace test, test ok","defective replace test, glass defective replace, replace test ok",PDY0079,X12 GLASS OVERLAY,Parts
"Error E105
Control board power supply 12V stable. Mains frequency error. Device taken away. Device repaired in the workshop. Control board replaced. Device delivered and put into operation. Function OK.","12v, away, board, deliver, device, error, frequency, operation, power, repair, replace, stable, supply, workshop","12v stable, away device, board power, board replace, deliver operation, device away, device repair, error board, error device, frequency error, power supply, repair workshop, replace deliver, stable frequency, supply 12v, workshop board","12v stable frequency, away device repair, board power supply, board replace deliver, device away device, device repair workshop, error board power, error device away, frequency error device, power supply 12v, repair workshop board, replace deliver operation, stable frequency error, supply 12v stable, workshop board replace",P30Z5048,CONTROL IO ASSY,Parts
"The display on the Merrychef has fallen out urgent repair required
Display holder repaired, glued, after consultation with Mr. Theiß no replacement necessary.","consultation, display, fall, glue, holder, necessary, repair, replacement, require, urgent","consultation replacement, display fall, fall urgent, glue consultation, holder repair, repair glue, repair require, replacement necessary, require holder, urgent repair","consultation replacement necessary, display fall urgent, fall urgent repair, glue consultation replacement, holder repair glue, repair glue consultation, repair require holder, require holder repair, urgent repair require",31Z0186,RTV SEALANT- SILASTIC BLACK,Parts
"Default E105 - Defective SRB - Part replaced, test ok","defective, ok, replace, test","defective replace, replace test, test ok","defective replace test, replace test ok",P30Z5048,CONTROL IO ASSY,Parts
"No possibilityof upgrade - Replacement of personality , test ok","ok, personality, possibilityof, test, upgrade","personality test, possibilityof upgrade, test ok, upgrade personality","personality test ok, possibilityof upgrade personality, upgrade personality test",32Z7095,PERSONALITY MOD I/O SRB,Parts
"Default E105 - Defective SRB - Part replaced, test ok","defective, ok, replace, test","defective replace, replace test, test ok","defective replace test, replace test ok",P30Z5048,CONTROL IO ASSY,Parts
"Default E105 - Defective SRB - Part replaced, test ok","defective, ok, replace, test","defective replace, replace test, test ok","defective replace test, replace test ok",P30Z5048,CONTROL IO ASSY,Parts
"Failure 105, the SRB does not respond, and is constantly in error mode, 
We diagnosed a defective SRB board, we replaced it, the oven is back to work correctly.","board, constantly, correctly, defective, diagnose, e105, error, failure, mode, oven, replace, respond, work","board replace, constantly error, defective board, diagnose defective, e105 respond, error mode, failure e105, mode diagnose, oven work, replace oven, respond constantly, work correctly","board replace oven, constantly error mode, defective board replace, diagnose defective board, e105 respond constantly, error mode diagnose, failure e105 respond, mode diagnose defective, oven work correctly, replace oven work, respond constantly error",P30Z5048,CONTROL IO ASSY,Parts
"Default E105 - Defective SRB - Part replaced, test ok","defective, ok, replace, test","defective replace, replace test, test ok","defective replace test, replace test ok",P30Z5048,CONTROL IO ASSY,Parts
"E111 default - Defective probe - Part Replaced, test, ok","default, defective, ok, probe, test","default defective, defective probe, probe test, test ok","default defective probe, defective probe test, probe test ok",DR0243,THERMOCOUPLE K-700,Parts
"Default E105 - Defective SRB - Part replaced, test ok","defective, ok, replace, test","defective replace, replace test, test ok","defective replace test, replace test ok",P30Z5048,CONTROL IO ASSY,Parts
"Default E105 - Defective SRB - Part replaced, test ok","defective, ok, replace, test","defective replace, replace test, test ok","defective replace test, replace test ok",P30Z5048,CONTROL IO ASSY,Parts
"Front glass defective X12 - Part replaced, test ok","defective, glass, ok, replace, test","defective replace, glass defective, replace test, test ok","defective replace test, glass defective replace, replace test ok",PDY0079,X12 GLASS OVERLAY,Parts
"Default E105 - Defective SRB - Part replaced, test ok","defective, ok, replace, test","defective replace, replace test, test ok","defective replace test, replace test ok",P30Z5048,CONTROL IO ASSY,Parts
"Default E105 - Defective SRB - Part replaced, test ok","defective, ok, replace, test","defective replace, replace test, test ok","defective replace test, replace test ok",P30Z5048,CONTROL IO ASSY,Parts
"Follow-up order to call: 242810.
- Replacement air filter switch 30Z1626
Replacement of defective air filter switch","air, defective, filter, followup, order, switch","air filter, defective air, filter switch, followup order, order air, switch defective","air filter switch, defective air filter, filter switch defective, followup order air, order air filter, switch defective air",30Z1626,AIR FILTER LONG M/SWITCH,Parts
"Front glass defective X12 - Part replaced, test ok","defective, glass, ok, replace, test","defective replace, glass defective, replace test, test ok","defective replace test, glass defective replace, replace test ok",PDY0079,X12 GLASS OVERLAY,Parts
"Default E105 - Defective SRB - Part replaced, test ok","defective, ok, replace, test","defective replace, replace test, test ok","defective replace test, replace test ok",P30Z5048,CONTROL IO ASSY,Parts
"Front glass defective X12 - Part replaced, test ok","defective, glass, ok, replace, test","defective replace, glass defective, replace test, test ok","defective replace test, glass defective replace, replace test ok",PDY0079,X12 GLASS OVERLAY,Parts
"Default E105 - Defective SRB - Part replaced, test ok","defective, ok, replace, test","defective replace, replace test, test ok","defective replace test, replace test ok",P30Z5048,CONTROL IO ASSY,Parts
"Default E105 - Defective SRB - Part replaced, test ok","defective, ok, replace, test","defective replace, replace test, test ok","defective replace test, replace test ok",P30Z5048,CONTROL IO ASSY,Parts
"Default E105 - Defective SRB - Part replaced, test ok","defective, ok, replace, test","defective replace, replace test, test ok","defective replace test, replace test ok",P30Z5048,CONTROL IO ASSY,Parts
"E111 default - Defective probe - Part Replaced, test, ok","default, defective, ok, probe, test","default defective, defective probe, probe test, test ok","default defective probe, defective probe test, probe test ok",DR0243,THERMOCOUPLE K-700,Parts
"Default E105 - Defective SRB - Part replaced, test ok","defective, ok, replace, test","defective replace, replace test, test ok","defective replace test, replace test ok",P30Z5048,CONTROL IO ASSY,Parts
"Glass front touchscreen has come loose, wobbles. 
Touchscreen housing replaced.","come, glass, housing, loose, replace, touchscreen, wobble","come loose, glass touchscreen, housing replace, loose wobble, touchscreen come, wobble housing","come loose wobble, glass touchscreen come, loose wobble housing, touchscreen come loose, wobble housing replace",PDY0079,X12 GLASS OVERLAY,Parts
"Error: E111, Cavity Sensor Failure.
Merrychef conneX 12
Serial number: 2205213090156
Replace temperature sensor and SRB board","12, 2205213090156, board, error, number, replace, sensor, serial, temperature","12 serial, 2205213090156 replace, error 12, number 2205213090156, replace temperature, sensor board, serial number, temperature sensor","12 serial number, 2205213090156 replace temperature, error 12 serial, number 2205213090156 replace, replace temperature sensor, serial number 2205213090156, temperature sensor board",P30Z5048,CONTROL IO ASSY,Parts
"Error: E111, Cavity Sensor Failure.
Merrychef conneX 12
Serial number: 2205213090156
Replace temperature sensor and SRB board","12, 2205213090156, board, error, number, replace, sensor, serial, temperature","12 serial, 2205213090156 replace, error 12, number 2205213090156, replace temperature, sensor board, serial number, temperature sensor","12 serial number, 2205213090156 replace temperature, error 12 serial, number 2205213090156 replace, replace temperature sensor, serial number 2205213090156, temperature sensor board",DR0243,THERMOCOUPLE K-700,Parts
"Replace air filter
Air filter replaced.","air, filter, replace","air filter, filter filter, filter replace, replace air","air filter filter, filter filter replace, replace air filter",DR0197,AIR FILTER,Parts
"Operating display has completely fallen out and needs to be reattached. 
New frame with screen repaired.","completely, display, fall, frame, need, new, operate, reattache, repair, screen","completely fall, display completely, fall need, frame screen, need reattache, new frame, operate display, reattache new, screen repair","completely fall need, display completely fall, fall need reattache, frame screen repair, need reattache new, new frame screen, operate display completely, reattache new frame",31Z0186,RTV SEALANT- SILASTIC BLACK,Parts
"Operating display has completely fallen out and needs to be reattached. 
New frame with screen repaired.","completely, display, fall, frame, need, new, operate, reattache, repair, screen","completely fall, display completely, fall need, frame screen, need reattache, new frame, operate display, reattache new, screen repair","completely fall need, display completely fall, fall need reattache, frame screen repair, need reattache new, new frame screen, operate display completely, reattache new frame",PDY0079,X12 GLASS OVERLAY,Parts
"Error E105, error mains frequency
Device dismantled, board replaced and checked. There are still several errors, E105, E118, and various other errors are recorded when reading out the history. E. 107 The display does not respond properly. The device cannot be switched on and off. Some buttons also do not work. Error searched for. Looked for weak points and cables or contacts. Checked components and voltage on the device as far as possible. No fault found. The software may need to be replaced. Consultation with manufacturer and support","board, button, cable, check, component, contact, device, dismantled, display, e105, e107, e118, error, far, fault, frequency, history, look, main, manufacturer, need, point, possible, properly, read, record, replace, respond, search, software, support, switch, various, voltage, weak, work","board replace, button work, cable contact, check component, check error, component voltage, contact check, device far, device switch, dismantled board, display respond, e105 e118, e105 error, e107 display, e118 various, error e105, error main, error record, far possible, fault software, frequency dismantled, history e107, look weak, main frequency, manufacturer support, need replace, point cable, possible fault, properly device, read history, record read, replace check, replace manufacturer, respond properly, search look, software need, switch button, various error, voltage device, weak point, work search","board replace check, button work search, cable contact check, check component voltage, check error e105, component voltage device, contact check component, device far possible, device switch button, dismantled board replace, display respond properly, e105 e118 various, e105 error main, e107 display respond, e118 various error, error e105 e118, error e105 error, error main frequency, error record read, far possible fault, fault software need, frequency dismantled board, history e107 display, look weak point, main frequency dismantled, need replace manufacturer, point cable contact, possible fault software, properly device switch, read history e107, record read history, replace check error, replace manufacturer support, respond properly device, search look weak, software need replace, switch button work, various error record, voltage device far, weak point cable, work search look",P30Z5048,CONTROL IO ASSY,Parts
"Front glass defective X12 - Part replaced, test ok","defective, glass, ok, replace, test","defective replace, glass defective, replace test, test ok","defective replace test, glass defective replace, replace test ok",PDY0079,X12 GLASS OVERLAY,Parts
"19.10. Sensor goes out sporadically -> New sensor is ordered
24.10. Defective sensor replaced, function OK.","1910, 2410, defective, function, new, ok, order, replace, sensor, sporadically","1910 sporadically, 2410 defective, defective sensor, function ok, new sensor, order 2410, replace function, sensor order, sensor replace, sporadically new","1910 sporadically new, 2410 defective sensor, defective sensor replace, new sensor order, order 2410 defective, replace function ok, sensor order 2410, sensor replace function, sporadically new sensor",DR0243,THERMOCOUPLE K-700,Parts
"General check
Motor on right side replaced. Channel to antenna on right side re-drilled; hole too small!
Test.
OK.","antenna, check, general, hole, redrille, replace, right, small","antenna right, check right, general check, hole small, redrille hole, replace antenna, right redrille, right replace","antenna right redrille, check right replace, general check right, redrille hole small, replace antenna right, right redrille hole, right replace antenna",SB363,E2S PARTITION PLATE OVER/MOULD,Parts
"General check
Motor on right side replaced. Channel to antenna on right side re-drilled; hole too small!
Test.
OK.","antenna, check, general, hole, redrille, replace, right, small","antenna right, check right, general check, hole small, redrille hole, replace antenna, right redrille, right replace","antenna right redrille, check right replace, general check right, redrille hole small, replace antenna right, right redrille hole, right replace antenna",PSR240,E2S STIRRER MOTOR ASSY,Parts
"Error E105
-Restart is not successful
WScall 240684 

MerryChef ConneX12 - SN: 2301213091763

Device checked,
Error memory checked. Error E105,
Device opened,
disconnected defective circuit board,
new circuit board installed,
Function test OK","2301213091763, board, check, circuit, connex12, defective, disconnected, e105, error, instal, memory, new, ok, open, successful, test","2301213091763 check, board instal, board new, check error, check memory, circuit board, connex12 2301213091763, defective circuit, disconnected defective, e105 successful, error e105, error open, instal test, memory check, new circuit, open disconnected, successful connex12, test ok","2301213091763 check memory, board instal test, board new circuit, check error open, check memory check, circuit board instal, circuit board new, connex12 2301213091763 check, defective circuit board, disconnected defective circuit, e105 successful connex12, error e105 successful, error open disconnected, instal test ok, memory check error, new circuit board, open disconnected defective, successful connex12 2301213091763",P30Z5048,CONTROL IO ASSY,Parts
