Service Incident Summary,Keywords for n=1,Keywords for n=2,Keywords for n=3
"11/10/23  Customers RTI system not functioning cannot fill from bulk supply.  Used 2 jugs of oil on far right split vat serial numbers ending in 28, 29 both units heated and filtered correctly
***Serial #'s 2110LC0016, 17, 18, 19, 20***","['111023, 18, 20, 2110lc0016, 28, bulk, correctly, end, far, filter, function, heat, jug, number, oil, right, serial, split, supply, unit, use, vat']","['111023 function, 18 20, 2110lc0016 18, 28 unit, bulk supply, correctly serial, end 28, far right, filter correctly, function bulk, heat filter, jug oil, number end, oil far, right split, serial 2110lc0016, serial number, split vat, supply use, unit heat, use jug, vat serial']","['111023 function bulk, 2110lc0016 18 20, 28 unit heat, bulk supply use, correctly serial 2110lc0016, end 28 unit, far right split, filter correctly serial, function bulk supply, heat filter correctly, jug oil far, number end 28, oil far right, right split vat, serial 2110lc0016 18, serial number end, split vat serial, supply use jug, unit heat filter, use jug oil, vat serial number']"
"11/10/23  Customers RTI system not functioning cannot fill from bulk supply.  Used 2 jugs of oil on far right split vat serial numbers ending in 28, 29 both units heated and filtered correctly
***Serial #'s 2110LC0016, 17, 18, 19, 20***","['111023, 18, 20, 2110lc0016, 28, bulk, correctly, end, far, filter, function, heat, jug, number, oil, right, serial, split, supply, unit, use, vat']","['111023 function, 18 20, 2110lc0016 18, 28 unit, bulk supply, correctly serial, end 28, far right, filter correctly, function bulk, heat filter, jug oil, number end, oil far, right split, serial 2110lc0016, serial number, split vat, supply use, unit heat, use jug, vat serial']","['111023 function bulk, 2110lc0016 18 20, 28 unit heat, bulk supply use, correctly serial 2110lc0016, end 28 unit, far right split, filter correctly serial, function bulk supply, heat filter correctly, jug oil far, number end 28, oil far right, right split vat, serial 2110lc0016 18, serial number end, split vat serial, supply use jug, unit heat filter, use jug oil, vat serial number']"
"11/10/23  Customers RTI system not functioning cannot fill from bulk supply.  Used 2 jugs of oil on far right split vat serial numbers ending in 28, 29 both units heated and filtered correctly
***Serial #'s 2110LC0016, 17, 18, 19, 20***","['111023, 18, 20, 2110lc0016, 28, bulk, correctly, end, far, filter, function, heat, jug, number, oil, right, serial, split, supply, unit, use, vat']","['111023 function, 18 20, 2110lc0016 18, 28 unit, bulk supply, correctly serial, end 28, far right, filter correctly, function bulk, heat filter, jug oil, number end, oil far, right split, serial 2110lc0016, serial number, split vat, supply use, unit heat, use jug, vat serial']","['111023 function bulk, 2110lc0016 18 20, 28 unit heat, bulk supply use, correctly serial 2110lc0016, end 28 unit, far right split, filter correctly serial, function bulk supply, heat filter correctly, jug oil far, number end 28, oil far right, right split vat, serial 2110lc0016 18, serial number end, split vat serial, supply use jug, unit heat filter, use jug oil, vat serial number']"
"11/10/23  Customers RTI system not functioning cannot fill from bulk supply.  Used 2 jugs of oil on far right split vat serial numbers ending in 28, 29 both units heated and filtered correctly
***Serial #'s 2110LC0016, 17, 18, 19, 20***","['111023, 18, 20, 2110lc0016, 28, bulk, correctly, end, far, filter, function, heat, jug, number, oil, right, serial, split, supply, unit, use, vat']","['111023 function, 18 20, 2110lc0016 18, 28 unit, bulk supply, correctly serial, end 28, far right, filter correctly, function bulk, heat filter, jug oil, number end, oil far, right split, serial 2110lc0016, serial number, split vat, supply use, unit heat, use jug, vat serial']","['111023 function bulk, 2110lc0016 18 20, 28 unit heat, bulk supply use, correctly serial 2110lc0016, end 28 unit, far right split, filter correctly serial, function bulk supply, heat filter correctly, jug oil far, number end 28, oil far right, right split vat, serial 2110lc0016 18, serial number end, split vat serial, supply use jug, unit heat filter, use jug oil, vat serial number']"
Bad magnetron. Replaced magnetron. Cleaned EC and reset faults. All oven devices tested correctly after repair.,"['bad, clean, correctly, device, fault, magnetron, oven, repair, reset, test']","['bad magnetron, clean reset, correctly repair, device test, fault oven, magnetron clean, magnetron magnetron, oven device, reset fault, test correctly']","['bad magnetron magnetron, clean reset fault, device test correctly, fault oven device, magnetron clean reset, magnetron magnetron clean, oven device test, reset fault oven, test correctly repair']"
"11/27/23 ON CLAM #3, FOUND MULTIPLE E2 ERRORS. REMOVED RIGHT SIDE AND FOUND CLAM HEAD RAISED TOO FAR. IT WAS UP AGAINST THE UPPER LIMIT. USED BATTERY TO LOWER IT. PERFORMED A HOOD CALIBRATION TEST AND IT PASSED. CHECKED FOR PROPER OPERATION.","['112723, calibration, errors, far, head, hood, operation, pass, proper, raise, right, test, use']","['112723 errors, calibration test, errors right, far use, head raise, hood calibration, pass proper, proper operation, raise far, right head, test pass, use hood']","['112723 errors right, calibration test pass, errors right head, far use hood, head raise far, hood calibration test, pass proper operation, raise far use, right head raise, test pass proper, use hood calibration']"
"11/27/23 ON CLAM #3, FOUND MULTIPLE E2 ERRORS. REMOVED RIGHT SIDE AND FOUND CLAM HEAD RAISED TOO FAR. IT WAS UP AGAINST THE UPPER LIMIT. USED BATTERY TO LOWER IT. PERFORMED A HOOD CALIBRATION TEST AND IT PASSED. CHECKED FOR PROPER OPERATION.","['112723, calibration, errors, far, head, hood, operation, pass, proper, raise, right, test, use']","['112723 errors, calibration test, errors right, far use, head raise, hood calibration, pass proper, proper operation, raise far, right head, test pass, use hood']","['112723 errors right, calibration test pass, errors right head, far use hood, head raise far, hood calibration test, pass proper operation, raise far use, right head raise, test pass proper, use hood calibration']"
"11/27/23 ON CLAM #3, FOUND MULTIPLE E2 ERRORS. REMOVED RIGHT SIDE AND FOUND CLAM HEAD RAISED TOO FAR. IT WAS UP AGAINST THE UPPER LIMIT. USED BATTERY TO LOWER IT. PERFORMED A HOOD CALIBRATION TEST AND IT PASSED. CHECKED FOR PROPER OPERATION.","['112723, calibration, errors, far, head, hood, operation, pass, proper, raise, right, test, use']","['112723 errors, calibration test, errors right, far use, head raise, hood calibration, pass proper, proper operation, raise far, right head, test pass, use hood']","['112723 errors right, calibration test pass, errors right head, far use hood, head raise far, hood calibration test, pass proper operation, raise far use, right head raise, test pass proper, use hood calibration']"
"START UP -
409, on 12/01/23 at 15:35: ARRIVED AT LOCATION TO DO THE START UP FOR THE BIC UNIT FOR THIS LOCATION FOLLOWED THE INSTRUCTIONS THAT WERE ON THE MANUAL CALIBRATED THE FRAPPE AND MADE TEST EXAMPLES FOR THE MANAGERS TO SEE HOW THE UNIT WORKS AND SHOWED THEM HOW DO TO DO THEM.","['120123, 1535, 409, calibrate, examples, make, manager, test']","['120123 1535, 1535 calibrate, 409 120123, calibrate make, examples manager, make test, test examples']","['120123 1535 calibrate, 1535 calibrate make, 409 120123 1535, calibrate make test, make test examples, test examples manager']"
"START UP -
409, on 12/01/23 at 15:35: ARRIVED AT LOCATION TO DO THE START UP FOR THE BIC UNIT FOR THIS LOCATION FOLLOWED THE INSTRUCTIONS THAT WERE ON THE MANUAL CALIBRATED THE FRAPPE AND MADE TEST EXAMPLES FOR THE MANAGERS TO SEE HOW THE UNIT WORKS AND SHOWED THEM HOW DO TO DO THEM.","['120123, 1535, 409, calibrate, examples, make, manager, test']","['120123 1535, 1535 calibrate, 409 120123, calibrate make, examples manager, make test, test examples']","['120123 1535 calibrate, 1535 calibrate make, 409 120123 1535, calibrate make test, make test examples, test examples manager']"
ALARMS GOING OFF - FRYER IS DOWN. NEEDS EMERGENCY SERVICE - IF FRYMASTER DOES NOT COVER THE DOUBLE TIME THE CUSTOMER WILL BE RESPONSIBLE FOR THESE CHARGES,"['charge, double, frymaster, service']","['double charge, frymaster double, service frymaster']","['frymaster double charge, service frymaster double']"
ALARMS GOING OFF - FRYER IS DOWN. NEEDS EMERGENCY SERVICE - IF FRYMASTER DOES NOT COVER THE DOUBLE TIME THE CUSTOMER WILL BE RESPONSIBLE FOR THESE CHARGES,"['charge, double, frymaster, service']","['double charge, frymaster double, service frymaster']","['frymaster double charge, service frymaster double']"
ALARMS GOING OFF - FRYER IS DOWN. NEEDS EMERGENCY SERVICE - IF FRYMASTER DOES NOT COVER THE DOUBLE TIME THE CUSTOMER WILL BE RESPONSIBLE FOR THESE CHARGES,"['charge, double, frymaster, service']","['double charge, frymaster double, service frymaster']","['frymaster double charge, service frymaster double']"
Bad magnetron. Replaced magnetron. Cleaned EC and reset faults. All oven devices tested correctly after repair.,"['bad, clean, correctly, device, fault, magnetron, oven, repair, reset, test']","['bad magnetron, clean reset, correctly repair, device test, fault oven, magnetron clean, magnetron magnetron, oven device, reset fault, test correctly']","['bad magnetron magnetron, clean reset fault, device test correctly, fault oven device, magnetron clean reset, magnetron magnetron clean, oven device test, reset fault oven, test correctly repair']"
"Service Performed:  Received, uncrated and inspected (2) new Delfield DCH-SC-55RP 55"" Salad Units. Loaded and delivered to site. Removed existing units for disposal. Set in place and installed new equipment. Started up and checked operation. Completed electronic online start-up forms. 11/29.","['1129, check, complete, deliver, disposal, electronic, equipment, exist, form, inspect, instal, load, new, online, operation, place, receive, remove, site, start, startup, uncrated, unit']","['check operation, complete electronic, deliver site, disposal place, electronic online, equipment start, exist unit, form 1129, inspect new, instal new, load deliver, new equipment, new load, online startup, operation complete, place instal, receive uncrated, remove exist, site remove, start check, startup form, uncrated inspect, unit disposal']","['check operation complete, complete electronic online, deliver site remove, disposal place instal, electronic online startup, equipment start check, exist unit disposal, inspect new load, instal new equipment, load deliver site, new equipment start, new load deliver, online startup form, operation complete electronic, place instal new, receive uncrated inspect, remove exist unit, site remove exist, start check operation, startup form 1129, uncrated inspect new, unit disposal place']"
"Service Performed:  Received, uncrated and inspected (2) new Delfield DCH-SC-55RP 55"" Salad Units. Loaded and delivered to site. Removed existing units for disposal. Set in place and installed new equipment. Started up and checked operation. Completed electronic online start-up forms. 11/29.","['1129, check, complete, deliver, disposal, electronic, equipment, exist, form, inspect, instal, load, new, online, operation, place, receive, remove, site, start, startup, uncrated, unit']","['check operation, complete electronic, deliver site, disposal place, electronic online, equipment start, exist unit, form 1129, inspect new, instal new, load deliver, new equipment, new load, online startup, operation complete, place instal, receive uncrated, remove exist, site remove, start check, startup form, uncrated inspect, unit disposal']","['check operation complete, complete electronic online, deliver site remove, disposal place instal, electronic online startup, equipment start check, exist unit disposal, inspect new load, instal new equipment, load deliver site, new equipment start, new load deliver, online startup form, operation complete electronic, place instal new, receive uncrated inspect, remove exist unit, site remove exist, start check operation, startup form 1129, uncrated inspect new, unit disposal place']"
"I'm calling from McDonald's store 820 in Milford Connecticut I have our french fry fry master LOV fryer I'm having issues with the
oil system I troubleshooted the oil system, my jib oil solenoid is sticking open or the FIB board is locking up in commanding it
open all the time so when I filter I am getting it back flowing oil and overflowing the jib with old oil. for the time being I went into
the FIB filter box and I snipped the power going to the oil jib solenoid and wire nut it it off so the store would still be able to filter.
It happens randomly and not all the time but when it got stuck on it stayed open till fryer was reset. If the technician has any
questions please have them contact me directly on my cell 203 993 4463. Fryerr is brand new and covered under the Frymaster
two-year warranty. Attached is the model and serial number.
Check operation and found JIB solenoid valve is sticking open and allowing oil to pass to JIB. Valve needs to be replaced
Replace bulk oil solenoid valve and run wires as new. Test filtering, ATO, fill vat from bulk and fill JIB. I found no oil backfill now","['203, 4463, 820, 993, able, allow, attach, backfill, board, box, brand, bulk, cell, check, command, contact, cover, directly, filter, flow, french, fry, fryer, happen, issue, jib, lock, master, model, need, new, number, nut, oil, old, open, operation, overflow, pass, power, question, randomly, replace, reset, run, serial, snip, solenoid, stay, stick, store, technician, test, till, time, troubleshoot, twoyear, valve, vat, warranty, wire']","['203 993, 4463 brand, 820 french, 993 4463, able filter, allow oil, attach model, board lock, box snip, brand new, bulk oil, cell 203, check operation, command open, contact directly, cover twoyear, directly cell, filter box, filter flow, filter happen, filter vat, flow oil, french fry, fry fry, fry master, fryer issue, fryer reset, happen randomly, issue oil, jib oil, jib old, jib solenoid, lock command, master fryer, model serial, need replace, new cover, new test, number check, nut store, oil backfill, oil jib, oil overflow, oil pass, oil solenoid, oil time, oil troubleshoot, old oil, open allow, open board, open till, open time, operation solenoid, overflow jib, pass need, power oil, question contact, randomly time, replace bulk, reset technician, run wire, serial number, snip power, solenoid stick, solenoid valve, solenoid wire, stay open, stick open, stick stay, store 820, store able, technician question, test filter, till fryer, time filter, time stick, troubleshoot oil, twoyear warranty, valve run, valve stick, vat bulk, warranty attach, wire new, wire nut']","['203 993 4463, 4463 brand new, 820 french fry, 993 4463 brand, able filter happen, allow oil pass, attach model serial, board lock command, box snip power, brand new cover, bulk oil backfill, bulk oil solenoid, cell 203 993, check operation solenoid, command open time, contact directly cell, cover twoyear warranty, directly cell 203, filter box snip, filter flow oil, filter happen randomly, filter vat bulk, flow oil overflow, french fry fry, fry fry master, fry master fryer, fryer issue oil, fryer reset technician, happen randomly time, issue oil troubleshoot, jib oil solenoid, jib old oil, jib solenoid wire, lock command open, master fryer issue, model serial number, need replace bulk, new cover twoyear, new test filter, number check operation, nut store able, oil jib oil, oil jib solenoid, oil overflow jib, oil pass need, oil solenoid stick, oil solenoid valve, oil time filter, oil troubleshoot oil, old oil time, open allow oil, open board lock, open till fryer, open time filter, operation solenoid valve, overflow jib old, pass need replace, power oil jib, question contact directly, randomly time stick, replace bulk oil, reset technician question, run wire new, serial number check, snip power oil, solenoid stick open, solenoid valve run, solenoid valve stick, solenoid wire nut, stay open till, stick open allow, stick open board, stick stay open, store 820 french, store able filter, technician question contact, test filter vat, till fryer reset, time filter box, time filter flow, time stick stay, troubleshoot oil jib, twoyear warranty attach, valve run wire, valve stick open, vat bulk oil, warranty attach model, wire new test, wire nut store']"
"I'm calling from McDonald's store 820 in Milford Connecticut I have our french fry fry master LOV fryer I'm having issues with the
oil system I troubleshooted the oil system, my jib oil solenoid is sticking open or the FIB board is locking up in commanding it
open all the time so when I filter I am getting it back flowing oil and overflowing the jib with old oil. for the time being I went into
the FIB filter box and I snipped the power going to the oil jib solenoid and wire nut it it off so the store would still be able to filter.
It happens randomly and not all the time but when it got stuck on it stayed open till fryer was reset. If the technician has any
questions please have them contact me directly on my cell 203 993 4463. Fryerr is brand new and covered under the Frymaster
two-year warranty. Attached is the model and serial number.
Check operation and found JIB solenoid valve is sticking open and allowing oil to pass to JIB. Valve needs to be replaced
Replace bulk oil solenoid valve and run wires as new. Test filtering, ATO, fill vat from bulk and fill JIB. I found no oil backfill now","['203, 4463, 820, 993, able, allow, attach, backfill, board, box, brand, bulk, cell, check, command, contact, cover, directly, filter, flow, french, fry, fryer, happen, issue, jib, lock, master, model, need, new, number, nut, oil, old, open, operation, overflow, pass, power, question, randomly, replace, reset, run, serial, snip, solenoid, stay, stick, store, technician, test, till, time, troubleshoot, twoyear, valve, vat, warranty, wire']","['203 993, 4463 brand, 820 french, 993 4463, able filter, allow oil, attach model, board lock, box snip, brand new, bulk oil, cell 203, check operation, command open, contact directly, cover twoyear, directly cell, filter box, filter flow, filter happen, filter vat, flow oil, french fry, fry fry, fry master, fryer issue, fryer reset, happen randomly, issue oil, jib oil, jib old, jib solenoid, lock command, master fryer, model serial, need replace, new cover, new test, number check, nut store, oil backfill, oil jib, oil overflow, oil pass, oil solenoid, oil time, oil troubleshoot, old oil, open allow, open board, open till, open time, operation solenoid, overflow jib, pass need, power oil, question contact, randomly time, replace bulk, reset technician, run wire, serial number, snip power, solenoid stick, solenoid valve, solenoid wire, stay open, stick open, stick stay, store 820, store able, technician question, test filter, till fryer, time filter, time stick, troubleshoot oil, twoyear warranty, valve run, valve stick, vat bulk, warranty attach, wire new, wire nut']","['203 993 4463, 4463 brand new, 820 french fry, 993 4463 brand, able filter happen, allow oil pass, attach model serial, board lock command, box snip power, brand new cover, bulk oil backfill, bulk oil solenoid, cell 203 993, check operation solenoid, command open time, contact directly cell, cover twoyear warranty, directly cell 203, filter box snip, filter flow oil, filter happen randomly, filter vat bulk, flow oil overflow, french fry fry, fry fry master, fry master fryer, fryer issue oil, fryer reset technician, happen randomly time, issue oil troubleshoot, jib oil solenoid, jib old oil, jib solenoid wire, lock command open, master fryer issue, model serial number, need replace bulk, new cover twoyear, new test filter, number check operation, nut store able, oil jib oil, oil jib solenoid, oil overflow jib, oil pass need, oil solenoid stick, oil solenoid valve, oil time filter, oil troubleshoot oil, old oil time, open allow oil, open board lock, open till fryer, open time filter, operation solenoid valve, overflow jib old, pass need replace, power oil jib, question contact directly, randomly time stick, replace bulk oil, reset technician question, run wire new, serial number check, snip power oil, solenoid stick open, solenoid valve run, solenoid valve stick, solenoid wire nut, stay open till, stick open allow, stick open board, stick stay open, store 820 french, store able filter, technician question contact, test filter vat, till fryer reset, time filter box, time filter flow, time stick stay, troubleshoot oil jib, twoyear warranty attach, valve run wire, valve stick open, vat bulk oil, warranty attach model, wire new test, wire nut store']"
"I'm calling from McDonald's store 820 in Milford Connecticut I have our french fry fry master LOV fryer I'm having issues with the
oil system I troubleshooted the oil system, my jib oil solenoid is sticking open or the FIB board is locking up in commanding it
open all the time so when I filter I am getting it back flowing oil and overflowing the jib with old oil. for the time being I went into
the FIB filter box and I snipped the power going to the oil jib solenoid and wire nut it it off so the store would still be able to filter.
It happens randomly and not all the time but when it got stuck on it stayed open till fryer was reset. If the technician has any
questions please have them contact me directly on my cell 203 993 4463. Fryerr is brand new and covered under the Frymaster
two-year warranty. Attached is the model and serial number.
Check operation and found JIB solenoid valve is sticking open and allowing oil to pass to JIB. Valve needs to be replaced
Replace bulk oil solenoid valve and run wires as new. Test filtering, ATO, fill vat from bulk and fill JIB. I found no oil backfill now","['203, 4463, 820, 993, able, allow, attach, backfill, board, box, brand, bulk, cell, check, command, contact, cover, directly, filter, flow, french, fry, fryer, happen, issue, jib, lock, master, model, need, new, number, nut, oil, old, open, operation, overflow, pass, power, question, randomly, replace, reset, run, serial, snip, solenoid, stay, stick, store, technician, test, till, time, troubleshoot, twoyear, valve, vat, warranty, wire']","['203 993, 4463 brand, 820 french, 993 4463, able filter, allow oil, attach model, board lock, box snip, brand new, bulk oil, cell 203, check operation, command open, contact directly, cover twoyear, directly cell, filter box, filter flow, filter happen, filter vat, flow oil, french fry, fry fry, fry master, fryer issue, fryer reset, happen randomly, issue oil, jib oil, jib old, jib solenoid, lock command, master fryer, model serial, need replace, new cover, new test, number check, nut store, oil backfill, oil jib, oil overflow, oil pass, oil solenoid, oil time, oil troubleshoot, old oil, open allow, open board, open till, open time, operation solenoid, overflow jib, pass need, power oil, question contact, randomly time, replace bulk, reset technician, run wire, serial number, snip power, solenoid stick, solenoid valve, solenoid wire, stay open, stick open, stick stay, store 820, store able, technician question, test filter, till fryer, time filter, time stick, troubleshoot oil, twoyear warranty, valve run, valve stick, vat bulk, warranty attach, wire new, wire nut']","['203 993 4463, 4463 brand new, 820 french fry, 993 4463 brand, able filter happen, allow oil pass, attach model serial, board lock command, box snip power, brand new cover, bulk oil backfill, bulk oil solenoid, cell 203 993, check operation solenoid, command open time, contact directly cell, cover twoyear warranty, directly cell 203, filter box snip, filter flow oil, filter happen randomly, filter vat bulk, flow oil overflow, french fry fry, fry fry master, fry master fryer, fryer issue oil, fryer reset technician, happen randomly time, issue oil troubleshoot, jib oil solenoid, jib old oil, jib solenoid wire, lock command open, master fryer issue, model serial number, need replace bulk, new cover twoyear, new test filter, number check operation, nut store able, oil jib oil, oil jib solenoid, oil overflow jib, oil pass need, oil solenoid stick, oil solenoid valve, oil time filter, oil troubleshoot oil, old oil time, open allow oil, open board lock, open till fryer, open time filter, operation solenoid valve, overflow jib old, pass need replace, power oil jib, question contact directly, randomly time stick, replace bulk oil, reset technician question, run wire new, serial number check, snip power oil, solenoid stick open, solenoid valve run, solenoid valve stick, solenoid wire nut, stay open till, stick open allow, stick open board, stick stay open, store 820 french, store able filter, technician question contact, test filter vat, till fryer reset, time filter box, time filter flow, time stick stay, troubleshoot oil jib, twoyear warranty attach, valve run wire, valve stick open, vat bulk oil, warranty attach model, wire new test, wire nut store']"
"I'm calling from McDonald's store 820 in Milford Connecticut I have our french fry fry master LOV fryer I'm having issues with the
oil system I troubleshooted the oil system, my jib oil solenoid is sticking open or the FIB board is locking up in commanding it
open all the time so when I filter I am getting it back flowing oil and overflowing the jib with old oil. for the time being I went into
the FIB filter box and I snipped the power going to the oil jib solenoid and wire nut it it off so the store would still be able to filter.
It happens randomly and not all the time but when it got stuck on it stayed open till fryer was reset. If the technician has any
questions please have them contact me directly on my cell 203 993 4463. Fryerr is brand new and covered under the Frymaster
two-year warranty. Attached is the model and serial number.
Check operation and found JIB solenoid valve is sticking open and allowing oil to pass to JIB. Valve needs to be replaced
Replace bulk oil solenoid valve and run wires as new. Test filtering, ATO, fill vat from bulk and fill JIB. I found no oil backfill now","['203, 4463, 820, 993, able, allow, attach, backfill, board, box, brand, bulk, cell, check, command, contact, cover, directly, filter, flow, french, fry, fryer, happen, issue, jib, lock, master, model, need, new, number, nut, oil, old, open, operation, overflow, pass, power, question, randomly, replace, reset, run, serial, snip, solenoid, stay, stick, store, technician, test, till, time, troubleshoot, twoyear, valve, vat, warranty, wire']","['203 993, 4463 brand, 820 french, 993 4463, able filter, allow oil, attach model, board lock, box snip, brand new, bulk oil, cell 203, check operation, command open, contact directly, cover twoyear, directly cell, filter box, filter flow, filter happen, filter vat, flow oil, french fry, fry fry, fry master, fryer issue, fryer reset, happen randomly, issue oil, jib oil, jib old, jib solenoid, lock command, master fryer, model serial, need replace, new cover, new test, number check, nut store, oil backfill, oil jib, oil overflow, oil pass, oil solenoid, oil time, oil troubleshoot, old oil, open allow, open board, open till, open time, operation solenoid, overflow jib, pass need, power oil, question contact, randomly time, replace bulk, reset technician, run wire, serial number, snip power, solenoid stick, solenoid valve, solenoid wire, stay open, stick open, stick stay, store 820, store able, technician question, test filter, till fryer, time filter, time stick, troubleshoot oil, twoyear warranty, valve run, valve stick, vat bulk, warranty attach, wire new, wire nut']","['203 993 4463, 4463 brand new, 820 french fry, 993 4463 brand, able filter happen, allow oil pass, attach model serial, board lock command, box snip power, brand new cover, bulk oil backfill, bulk oil solenoid, cell 203 993, check operation solenoid, command open time, contact directly cell, cover twoyear warranty, directly cell 203, filter box snip, filter flow oil, filter happen randomly, filter vat bulk, flow oil overflow, french fry fry, fry fry master, fry master fryer, fryer issue oil, fryer reset technician, happen randomly time, issue oil troubleshoot, jib oil solenoid, jib old oil, jib solenoid wire, lock command open, master fryer issue, model serial number, need replace bulk, new cover twoyear, new test filter, number check operation, nut store able, oil jib oil, oil jib solenoid, oil overflow jib, oil pass need, oil solenoid stick, oil solenoid valve, oil time filter, oil troubleshoot oil, old oil time, open allow oil, open board lock, open till fryer, open time filter, operation solenoid valve, overflow jib old, pass need replace, power oil jib, question contact directly, randomly time stick, replace bulk oil, reset technician question, run wire new, serial number check, snip power oil, solenoid stick open, solenoid valve run, solenoid valve stick, solenoid wire nut, stay open till, stick open allow, stick open board, stick stay open, store 820 french, store able filter, technician question contact, test filter vat, till fryer reset, time filter box, time filter flow, time stick stay, troubleshoot oil jib, twoyear warranty attach, valve run wire, valve stick open, vat bulk oil, warranty attach model, wire new test, wire nut store']"
"I'm calling from McDonald's store 820 in Milford Connecticut I have our french fry fry master LOV fryer I'm having issues with the
oil system I troubleshooted the oil system, my jib oil solenoid is sticking open or the FIB board is locking up in commanding it
open all the time so when I filter I am getting it back flowing oil and overflowing the jib with old oil. for the time being I went into
the FIB filter box and I snipped the power going to the oil jib solenoid and wire nut it it off so the store would still be able to filter.
It happens randomly and not all the time but when it got stuck on it stayed open till fryer was reset. If the technician has any
questions please have them contact me directly on my cell 203 993 4463. Fryerr is brand new and covered under the Frymaster
two-year warranty. Attached is the model and serial number.
Check operation and found JIB solenoid valve is sticking open and allowing oil to pass to JIB. Valve needs to be replaced
Replace bulk oil solenoid valve and run wires as new. Test filtering, ATO, fill vat from bulk and fill JIB. I found no oil backfill now","['203, 4463, 820, 993, able, allow, attach, backfill, board, box, brand, bulk, cell, check, command, contact, cover, directly, filter, flow, french, fry, fryer, happen, issue, jib, lock, master, model, need, new, number, nut, oil, old, open, operation, overflow, pass, power, question, randomly, replace, reset, run, serial, snip, solenoid, stay, stick, store, technician, test, till, time, troubleshoot, twoyear, valve, vat, warranty, wire']","['203 993, 4463 brand, 820 french, 993 4463, able filter, allow oil, attach model, board lock, box snip, brand new, bulk oil, cell 203, check operation, command open, contact directly, cover twoyear, directly cell, filter box, filter flow, filter happen, filter vat, flow oil, french fry, fry fry, fry master, fryer issue, fryer reset, happen randomly, issue oil, jib oil, jib old, jib solenoid, lock command, master fryer, model serial, need replace, new cover, new test, number check, nut store, oil backfill, oil jib, oil overflow, oil pass, oil solenoid, oil time, oil troubleshoot, old oil, open allow, open board, open till, open time, operation solenoid, overflow jib, pass need, power oil, question contact, randomly time, replace bulk, reset technician, run wire, serial number, snip power, solenoid stick, solenoid valve, solenoid wire, stay open, stick open, stick stay, store 820, store able, technician question, test filter, till fryer, time filter, time stick, troubleshoot oil, twoyear warranty, valve run, valve stick, vat bulk, warranty attach, wire new, wire nut']","['203 993 4463, 4463 brand new, 820 french fry, 993 4463 brand, able filter happen, allow oil pass, attach model serial, board lock command, box snip power, brand new cover, bulk oil backfill, bulk oil solenoid, cell 203 993, check operation solenoid, command open time, contact directly cell, cover twoyear warranty, directly cell 203, filter box snip, filter flow oil, filter happen randomly, filter vat bulk, flow oil overflow, french fry fry, fry fry master, fry master fryer, fryer issue oil, fryer reset technician, happen randomly time, issue oil troubleshoot, jib oil solenoid, jib old oil, jib solenoid wire, lock command open, master fryer issue, model serial number, need replace bulk, new cover twoyear, new test filter, number check operation, nut store able, oil jib oil, oil jib solenoid, oil overflow jib, oil pass need, oil solenoid stick, oil solenoid valve, oil time filter, oil troubleshoot oil, old oil time, open allow oil, open board lock, open till fryer, open time filter, operation solenoid valve, overflow jib old, pass need replace, power oil jib, question contact directly, randomly time stick, replace bulk oil, reset technician question, run wire new, serial number check, snip power oil, solenoid stick open, solenoid valve run, solenoid valve stick, solenoid wire nut, stay open till, stick open allow, stick open board, stick stay open, store 820 french, store able filter, technician question contact, test filter vat, till fryer reset, time filter box, time filter flow, time stick stay, troubleshoot oil jib, twoyear warranty attach, valve run wire, valve stick open, vat bulk oil, warranty attach model, wire new test, wire nut store']"
